Seq2;ee=0.0059;size=160465;	GFP11_A
Seq27;ee=0.0059;size=23384;	PD1-Avidin18_A
Seq26;ee=0.0059;size=23490;	CTLA-Avidin7_A
Seq59;ee=0.0059;size=7587;	CTLA-Avidin50_A
Seq58;ee=0.0059;size=7657;	GFP40_A
Seq51;ee=0.0059;size=9673;	PD1-Avidin2_A
Seq63;ee=0.0059;size=6968;	GFP28_A
Seq55;ee=0.0062;size=8440;	Luciferase5_N
Seq60;ee=0.0059;size=7362;	CTLA-Avidin12_A
Seq65;ee=0.0059;size=6168;	PD1-Avidin23_A
Seq66;ee=0.0059;size=5940;	GFP18_A
Seq52;ee=0.0059;size=9671;	GFP37_A
Seq67;ee=0.0062;size=5828;	VEGF21_N
Seq56;ee=0.0059;size=8397;	PD1-Avidin29_A
Seq70;ee=0.0059;size=5629;	PD1-Avidin12_A
Seq74;ee=0.0059;size=5213;	GFP4_A
Seq76;ee=0.0059;size=5186;	CTLA-Avidin47_A
Seq75;ee=0.0059;size=5208;	GFP44_A
Seq83;ee=0.0059;size=4344;	PD1-Avidin46_A
Seq82;ee=0.0059;size=4394;	CTLA-Avidin24_A
Seq86;ee=0.0059;size=3737;	GFP16_A
Seq88;ee=0.0062;size=3604;	PD1-Avidin7_N
Seq89;ee=0.0059;size=3604;	CTLA-Avidin43_A
Seq90;ee=0.0059;size=3542;	PD1-Avidin8_A
Seq93;ee=0.0059;size=3422;	PD1-Avidin49_A
Seq98;ee=0.0059;size=3216;	PD1-Avidin39_A
Seq106;ee=0.0059;size=3057;	PD1-Avidin4_A
Seq107;ee=0.0059;size=3027;	GFP36_A
Seq108;ee=0.014;size=3001;	PE48_O
Seq105;ee=0.0059;size=3073;	PE10_A
Seq114;ee=0.0059;size=2652;	CTLA-Avidin46_A
Seq116;ee=0.0059;size=2499;	PD1-Avidin1_A
Seq112;ee=0.015;size=2763;	PE40_O
Seq115;ee=0.0059;size=2626;	GFP1_A
Seq119;ee=0.042;size=2440;	PE26_O
Seq127;ee=0.0059;size=2317;	Luciferase50_A
Seq123;ee=0.0059;size=2393;	PD1-Avidin28_A
Seq124;ee=0.0059;size=2380;	GFP46_A
Seq130;ee=0.0059;size=2274;	GFP38_A
Seq129;ee=0.0062;size=2301;	VEGF34_N
Seq138;ee=0.0059;size=2141;	Luciferase22_A
Seq144;ee=0.0062;size=2037;	VEGF42_N
Seq150;ee=0.0062;size=1912;	VEGF17_N
Seq157;ee=0.0062;size=1817;	VEGF24_N
Seq156;ee=0.015;size=1818;	VEGF8_E
Seq167;ee=0.0059;size=1674;	PE25_A
Seq169;ee=0.0062;size=1640;	CTLA-Avidin9_N
Seq173;ee=0.0062;size=1596;	Luciferase42_N
Seq178;ee=0.0059;size=1580;	Luciferase7_A
Seq177;ee=0.0059;size=1580;	GFP21_A
Seq181;ee=0.0062;size=1550;	CTLA-Avidin33_N
Seq184;ee=0.0059;size=1526;	PE49_A
Seq185;ee=0.0062;size=1518;	CTLA-Avidin3_N
Seq196;ee=0.0062;size=1440;	PD1-Avidin30_N
Seq205;ee=0.0059;size=1284;	GFP19_A
Seq216;ee=0.014;size=1227;	PE47_O
Seq213;ee=0.0059;size=1237;	Luciferase24_A
Seq214;ee=0.0062;size=1236;	Luciferase4_N
Seq221;ee=0.0059;size=1202;	CTLA-Avidin2_A
Seq234;ee=0.0061;size=1118;	PD1-Avidin14_A
Seq240;ee=0.014;size=1085;	PE14_O
Seq229;ee=0.0059;size=1158;	GFP27_A
Seq245;ee=0.014;size=1067;	CTLA-Tris-Carb16_O
Seq248;ee=0.0062;size=1056;	PE29_N
Seq261;ee=0.0059;size=973;	PD1-Avidin41_A
Seq268;ee=0.0059;size=951;	GFP26_A
Seq267;ee=0.0062;size=960;	VEGF33_N
Seq271;ee=0.0059;size=949;	PD1-Avidin48_A
Seq264;ee=0.0059;size=970;	CTLA-Avidin14_A
Seq274;ee=0.0062;size=936;	PD1-Avidin50_N
Seq277;ee=0.0062;size=919;	Luciferase41_N
Seq283;ee=0.0062;size=879;	Luciferase34_N
Seq287;ee=0.0062;size=873;	VEGF16_N
Seq297;ee=0.0062;size=839;	Luciferase26_N
Seq302;ee=0.0062;size=833;	PE4_N
Seq312;ee=0.0059;size=798;	GFP49_A
Seq322;ee=0.015;size=760;	CTLA-Avidin18_E
Seq326;ee=0.0062;size=754;	Luciferase44_N
Seq345;ee=0.0062;size=724;	Luciferase23_N
Seq340;ee=0.0062;size=733;	VEGF48_N
Seq350;ee=0.0059;size=716;	PD1-Avidin35_A
Seq352;ee=0.0059;size=715;	CTLA-Avidin25_A
Seq367;ee=0.0059;size=670;	GFP24_A
Seq374;ee=0.0059;size=657;	PD1-Avidin32_A
Seq407;ee=0.0062;size=619;	VEGF4_N
Seq402;ee=0.0062;size=621;	VEGF1_N
Seq412;ee=0.0062;size=610;	VEGF13_N
Seq450;ee=0.0062;size=557;	Luciferase1_N
Seq468;ee=0.0062;size=536;	VEGF44_N
Seq466;ee=0.015;size=537;	CTLA-Tris-Carb13_O
Seq471;ee=0.0062;size=532;	VEGF18_N
Seq470;ee=0.0062;size=533;	Luciferase3_N
Seq500;ee=0.0062;size=508;	CTLA-Avidin20_N
Seq525;ee=0.0062;size=482;	VEGF9_N
Seq542;ee=0.0059;size=465;	GFP41_A
Seq575;ee=0.0062;size=431;	VEGF38_N
Seq586;ee=0.011;size=422;	CTLA-Avidin4_H
Seq612;ee=0.048;size=403;	PE27_O
Seq615;ee=0.0062;size=400;	PD1-Avidin27_N
Seq623;ee=0.015;size=399;	PD1-Avidin13_E
Seq619;ee=0.0062;size=399;	Luciferase40_N
Seq624;ee=0.0062;size=399;	VEGF46_N
Seq626;ee=0.0062;size=396;	Luciferase6_N
Seq653;ee=0.0062;size=384;	Luciferase8_N
Seq687;ee=0.0062;size=368;	Luciferase38_N
Seq697;ee=0.0059;size=365;	GFP29_A
Seq706;ee=0.0062;size=361;	PD1-Avidin5_N
Seq739;ee=0.0062;size=348;	PE22_N
Seq734;ee=0.014;size=351;	PE17_O
Seq770;ee=0.014;size=334;	PE44_O
Seq776;ee=0.0062;size=331;	Luciferase19_N
Seq788;ee=0.0062;size=326;	PD1-Avidin42_N
Seq812;ee=0.014;size=321;	PE34_O
Seq828;ee=0.0059;size=316;	GFP35_A
Seq881;ee=0.0062;size=300;	VEGF43_N
Seq882;ee=0.0062;size=300;	VEGF25_N
Seq896;ee=0.0062;size=296;	VEGF6_N
Seq899;ee=0.0062;size=296;	PE23_N
Seq909;ee=0.0063;size=294;	GFP50_A
Seq959;ee=0.0059;size=281;	GFP30_A
Seq1008;ee=0.015;size=268;	PD1-Avidin9_E
Seq1048;ee=0.014;size=258;	PE18_O
Seq1098;ee=0.25;size=246;	PE37_O
Seq1134;ee=0.0059;size=238;	GFP13_A
Seq1133;ee=0.0062;size=238;	PD1-Avidin45_N
Seq1189;ee=0.0062;size=228;	Luciferase2_N
Seq1214;ee=0.73;size=223;	PE46_O
Seq1269;ee=0.0062;size=214;	CTLA-Avidin37_N
Seq1286;ee=0.0062;size=211;	VEGF37_N
Seq1313;ee=0.0062;size=206;	VEGF30_N
Seq1381;ee=0.0059;size=197;	CTLA-Avidin6_A
Seq1409;ee=0.0059;size=194;	CTLA-Avidin22_A
Seq1415;ee=0.0059;size=193;	GFP12_A
Seq1464;ee=0.015;size=188;	PE11_O
Seq1481;ee=0.0059;size=186;	PD1-Avidin25_A
Seq1483;ee=0.014;size=186;	CTLA-Tris-Carb15_O
Seq1533;ee=0.0062;size=180;	VEGF28_N
Seq1560;ee=0.0062;size=177;	CTLA-Avidin44_N
Seq1562;ee=0.0062;size=177;	PE13_N
Seq1567;ee=0.0062;size=176;	VEGF32_N
Seq1580;ee=0.014;size=175;	PE45_O
Seq1620;ee=0.0059;size=171;	CTLA-Avidin5_A
Seq1635;ee=0.0059;size=169;	PD1-Avidin3_A
Seq1695;ee=0.014;size=164;	PE19_O
Seq1722;ee=0.0062;size=163;	VEGF7_N
Seq1966;ee=0.0062;size=144;	VEGF10_N
Seq2143;ee=0.015;size=133;	PD1-Avidin38_E
Seq2228;ee=0.015;size=129;	PE35_O
Seq2261;ee=0.019;size=127;	Luciferase27_J
Seq2290;ee=0.0062;size=125;	VEGF11_N
Seq2554;ee=0.0062;size=114;	Luciferase21_N
Seq2584;ee=0.018;size=112;	CTLA-Tris-Carb7_K
Seq57;ee=0.0059;size=7844;	PE36_A
Seq2701;ee=0.0062;size=108;	CTLA-Avidin29_N
Seq2801;ee=0.014;size=104;	PE20_O
Seq2922;ee=0.011;size=100;	PD1-Avidin24_H
Seq2935;ee=0.0062;size=99;	Luciferase16_N
Seq2955;ee=0.0059;size=98;	PD1-Avidin37_A
Seq3095;ee=0.0059;size=94;	CTLA-Avidin16_A
Seq3125;ee=0.0062;size=94;	VEGF36_N
Seq3231;ee=0.0062;size=91;	VEGF5_N
Seq3234;ee=0.0062;size=90;	PE5_N
Seq3268;ee=0.0059;size=90;	PD1-Avidin22_A
Seq3327;ee=0.017;size=89;	CTLA-Avidin34_J
Seq3638;ee=0.013;size=81;	Unsorted_L46
Seq3893;ee=0.0062;size=76;	VEGF26_N
Seq3912;ee=0.0062;size=76;	VEGF35_N
Seq3947;ee=0.0062;size=75;	VEGF12_N
Seq4059;ee=0.013;size=73;	Native_H1
Seq4139;ee=0.0062;size=72;	PD1-Avidin34_N
Seq4211;ee=0.0062;size=70;	Luciferase32_N
Seq5063;ee=0.0062;size=59;	Luciferase47_N
Seq5656;ee=0.0062;size=53;	VEGF23_N
Seq5742;ee=0.018;size=52;	CTLA-Tris-Carb35_K
Seq5776;ee=0.38;size=52;	PE31_O
Seq6095;ee=0.015;size=49;	PD1-Avidin11_E
Seq6106;ee=0.0062;size=49;	VEGF2_N
Seq6170;ee=0.0059;size=48;	CTLA-Avidin28_A
Seq6369;ee=0.0062;size=46;	VEGF50_N
Seq6435;ee=0.016;size=46;	PD1-Avidin15_B
Seq6725;ee=0.0062;size=44;	PE12_N
Seq6963;ee=0.0062;size=42;	PE24_N
Seq7190;ee=0.0062;size=41;	Luciferase49_N
Seq7196;ee=0.0059;size=41;	CTLA-Avidin32_A
Seq7369;ee=0.0059;size=40;	Unsorted_A75
Seq7896;ee=0.0062;size=37;	VEGF20_N
Seq7897;ee=0.014;size=37;	PE15_O
Seq8398;ee=0.0059;size=34;	Unsorted_A27
Seq8566;ee=0.24;size=33;	Unsorted_L37
Seq8697;ee=0.0062;size=33;	Luciferase18_N
Seq8920;ee=0.0062;size=32;	CTLA-Avidin21_N
Seq8951;ee=0.0059;size=32;	Unsorted_A73
Seq9373;ee=0.0062;size=30;	Luciferase36_N
Seq9453;ee=0.0062;size=29;	Luciferase45_N
Seq9575;ee=0.0062;size=29;	Luciferase48_N
Seq9881;ee=0.0062;size=28;	Luciferase25_N
Seq9934;ee=0.0059;size=27;	GFP10_A
Seq10000;ee=0.0062;size=27;	Luciferase33_N
Seq10046;ee=0.011;size=27;	CTLA-Avidin49_H
Seq10072;ee=0.015;size=27;	CTLA-Avidin15_E
Seq10215;ee=0.014;size=27;	PE1_O
Seq10233;ee=0.017;size=27;	PD1-Avidin47_J
Seq10392;ee=0.0062;size=26;	Luciferase37_N
Seq10396;ee=0.0062;size=26;	Luciferase31_N
Seq10460;ee=0.014;size=26;	Unsorted_L9
Seq10525;ee=0.018;size=26;	CTLA-Tris-Carb27_K
Seq10588;ee=0.015;size=25;	PD1-Avidin33_E
Seq10834;ee=0.014;size=25;	CTLA-Avidin45_E
Seq11216;ee=0.014;size=24;	PE39_O
Seq11274;ee=0.046;size=23;	PD1-Avidin6_E
Seq12175;ee=0.017;size=21;	CTLA-Avidin39_B
Seq12912;ee=0.064;size=19;	PE43_O
Seq12950;ee=0.013;size=19;	Unsorted_L11
Seq13022;ee=0.0062;size=19;	VEGF3_N
Seq13392;ee=0.015;size=18;	PD1-Avidin16_E
Seq13602;ee=0.0062;size=18;	Luciferase28_N
Seq14108;ee=0.013;size=17;	Unsorted_L2
Seq14257;ee=0.014;size=17;	PE28_O
Seq14473;ee=0.016;size=16;	PD1-Avidin10_B
Seq14876;ee=0.0059;size=15;	Unsorted_A37
Seq15109;ee=0.014;size=15;	Unsorted_L12
Seq15317;ee=0.015;size=15;	CTLA-Avidin31_E
Seq15509;ee=0.36;size=14;	PD1-Avidin17_J
Seq16233;ee=0.0062;size=13;	VEGF29_N
Seq16566;ee=0.0062;size=13;	Unsorted_N1
Seq16571;ee=0.013;size=13;	Unsorted_L27
Seq16627;ee=0.0059;size=13;	Unsorted_A53
Seq16650;ee=0.015;size=13;	Unsorted_L63
Seq17001;ee=0.0059;size=12;	Unsorted_A50
Seq17034;ee=0.02;size=12;	Luciferase35_J
Seq17129;ee=0.019;size=12;	Unsorted_A72
Seq17251;ee=0.014;size=12;	CTLA-Tris-Carb11_O
Seq17422;ee=0.0062;size=12;	VEGF40_N
Seq17717;ee=0.0062;size=11;	PE41_N
Seq18364;ee=0.0062;size=10;	Unsorted_N54
Seq18505;ee=0.016;size=10;	Luciferase14_E
Seq18545;ee=0.013;size=10;	Unsorted_L51
Seq18613;ee=0.0059;size=10;	Unsorted_A47
Seq18615;ee=0.014;size=10;	CTLA-Tris-Carb10_O
Seq18650;ee=0.013;size=10;	Unsorted_L56
Seq18792;ee=0.0062;size=10;	Unsorted_N36
Seq18816;ee=0.0059;size=10;	Unsorted_A9
Seq18845;ee=0.019;size=10;	CTLA-Avidin40_E
Seq18975;ee=0.018;size=10;	CTLA-Tris-Carb48_K
Seq19065;ee=0.0059;size=10;	Unsorted_A59
Seq19396;ee=0.0059;size=9;	Unsorted_A13
Seq19640;ee=0.0062;size=9;	Unsorted_N29
Seq19722;ee=0.014;size=9;	PE42_O
Seq19864;ee=0.0059;size=9;	Unsorted_A12
Seq20057;ee=0.0062;size=9;	VEGF49_N
Seq20259;ee=0.0059;size=9;	Unsorted_A61
Seq20257;ee=0.016;size=9;	Unsorted_L36
Seq20352;ee=0.0059;size=8;	Unsorted_A6
Seq20632;ee=0.0059;size=8;	Unsorted_A45
Seq20692;ee=0.0059;size=8;	Unsorted_A39
Seq20758;ee=0.017;size=8;	CTLA-Avidin27_E
Seq20806;ee=0.0062;size=8;	VEGF14_N
Seq20869;ee=0.0059;size=8;	Unsorted_A68
Seq21547;ee=0.013;size=7;	Unsorted_L52
Seq21813;ee=0.0062;size=7;	VEGF45_N
Seq22095;ee=0.016;size=7;	Native_B1
Seq22235;ee=0.017;size=7;	Unsorted_J63
Seq22478;ee=0.013;size=7;	Unsorted_L16
Seq22757;ee=0.0059;size=7;	Unsorted_A70
Seq23258;ee=0.0059;size=6;	Unsorted_A57
Seq23474;ee=0.016;size=6;	Unsorted_B31
Seq23558;ee=0.015;size=6;	Unsorted_L39
Seq23713;ee=0.0059;size=6;	Native_A1
Seq23709;ee=0.0059;size=6;	Unsorted_A65
Seq23737;ee=0.013;size=6;	Unsorted_L17
Seq23823;ee=0.0059;size=6;	Unsorted_A36
Seq24581;ee=0.0062;size=5;	Unsorted_N40
Seq25149;ee=0.015;size=5;	CTLA-Avidin41_E
Seq25448;ee=0.018;size=5;	CTLA-Tris-Carb39_K
Seq25482;ee=0.11;size=5;	Unsorted_F17
Seq26108;ee=0.0059;size=5;	Unsorted_A67
Seq26198;ee=0.015;size=5;	Unsorted_Q68
Seq26371;ee=0.0059;size=5;	Unsorted_A22
Seq27252;ee=0.0059;size=4;	Unsorted_A7
Seq27363;ee=0.014;size=4;	Unsorted_L71
Seq27580;ee=0.0062;size=4;	Unsorted_N15
Seq27631;ee=0.5;size=4;	Unsorted_L60
Seq28001;ee=0.0062;size=4;	Luciferase46_N
Seq28166;ee=0.55;size=4;	Unsorted_L20
Seq28620;ee=0.014;size=4;	Unsorted_L24
Seq28761;ee=0.0059;size=4;	Unsorted_A52
Seq28772;ee=0.34;size=4;	Unsorted_Q34
Seq29082;ee=0.0062;size=4;	Unsorted_N3
Seq29223;ee=0.0059;size=4;	Unsorted_A8
Seq29361;ee=0.018;size=3;	Unsorted_J26
Seq29846;ee=0.0059;size=3;	Unsorted_A21
Seq30044;ee=0.018;size=3;	CTLA-Tris-Carb1_K
Seq30190;ee=0.015;size=3;	CTLA-Avidin23_E
Seq30617;ee=0.18;size=3;	Native_L1
Seq30852;ee=0.33;size=3;	Unsorted_L38
Seq30959;ee=0.0062;size=3;	Unsorted_N65
Seq30970;ee=0.22;size=3;	Unsorted_L58
Seq31261;ee=0.0059;size=3;	Unsorted_A62
Seq31449;ee=0.0062;size=3;	Luciferase15_N
Seq31493;ee=0.013;size=3;	Unsorted_L50
Seq31620;ee=0.0059;size=3;	Unsorted_A71
Seq31692;ee=0.26;size=3;	Unsorted_L10
Seq31751;ee=0.0062;size=3;	Luciferase29_N
Seq31822;ee=0.017;size=3;	Unsorted_B60
Seq31880;ee=0.016;size=3;	Unsorted_B13
Seq32263;ee=0.0059;size=3;	Unsorted_A23
Seq32648;ee=0.013;size=3;	Unsorted_L34
Seq32674;ee=0.012;size=3;	Native_P1
Seq32719;ee=0.017;size=3;	Unsorted_J15
Seq32798;ee=0.02;size=3;	Unsorted_F53
Seq33341;ee=0.011;size=3;	Unsorted_H45
Seq33547;ee=0.017;size=3;	Unsorted_J32
Seq33735;ee=0.62;size=2;	Unsorted_J42
Seq33810;ee=0.0059;size=2;	Unsorted_A16
Seq33874;ee=0.019;size=2;	Unsorted_A54
Seq34101;ee=0.018;size=2;	Unsorted_J34
Seq34140;ee=0.018;size=2;	Unsorted_F16
Seq34542;ee=0.0059;size=2;	Unsorted_A44
Seq34703;ee=0.017;size=2;	Unsorted_Q53
Seq35926;ee=0.018;size=2;	CTLA-Tris-Carb21_K
Seq36351;ee=0.053;size=2;	Unsorted_F1
Seq36586;ee=0.018;size=2;	Unsorted_I70
Seq36582;ee=0.014;size=2;	Unsorted_E5
Seq37196;ee=0.018;size=2;	Unsorted_J57
Seq37285;ee=0.023;size=2;	Unsorted_A32
Seq37319;ee=0.018;size=2;	CTLA-Tris-Carb40_K
Seq37445;ee=0.015;size=2;	Unsorted_Q62
Seq37470;ee=0.0059;size=2;	Unsorted_A19
Seq37863;ee=0.0059;size=2;	Unsorted_A14
Seq38018;ee=0.023;size=2;	Unsorted_C39
Seq39138;ee=0.22;size=2;	Unsorted_J33
Seq40238;ee=0.017;size=2;	Unsorted_B4
Seq40552;ee=0.0059;size=2;	Unsorted_A63
Seq40719;ee=0.47;size=2;	Unsorted_E48
Seq40866;ee=0.019;size=2;	Unsorted_L19
Seq41127;ee=0.013;size=2;	Unsorted_P54
Seq41305;ee=0.014;size=2;	Unsorted_D21
Seq41601;ee=0.0059;size=2;	Unsorted_A17
Seq41749;ee=0.33;size=2;	Unsorted_L61
Seq42073;ee=0.01;size=2;	Native_N1
Seq42353;ee=0.017;size=2;	Unsorted_F31
Seq42934;ee=0.017;size=2;	Unsorted_F19
Seq43254;ee=0.015;size=2;	Unsorted_E12
Seq43283;ee=0.015;size=2;	Unsorted_Q43
Seq43574;ee=0.017;size=2;	Unsorted_J23
Seq44304;ee=0.014;size=2;	Unsorted_D58
Seq48272;ee=1.2;size=1;	Unsorted_L41
Seq49306;ee=0.014;size=1;	Unsorted_L8
Seq51740;ee=0.055;size=1;	Unsorted_E18
Seq53446;ee=0.013;size=1;	Unsorted_L75
Seq54320;ee=0.13;size=1;	Unsorted_P26
Seq58184;ee=0.012;size=1;	Unsorted_P9
Seq59718;ee=0.017;size=1;	Unsorted_F8
Seq65796;ee=0.018;size=1;	Unsorted_K5
Seq66243;ee=0.0059;size=1;	Unsorted_A69
Seq66570;ee=0.013;size=1;	Unsorted_L49
Seq67451;ee=0.23;size=1;	Unsorted_J28
Seq68213;ee=1.2;size=1;	Unsorted_E51
Seq68663;ee=0.017;size=1;	Unsorted_J19
Seq69189;ee=0.0062;size=1;	VEGF22_N
Seq72340;ee=0.017;size=1;	Unsorted_I61
Seq72546;ee=0.011;size=1;	Unsorted_P48
Seq73428;ee=0.043;size=1;	Unsorted_J9
Seq77118;ee=0.011;size=1;	Unsorted_H44
Seq77467;ee=0.8;size=1;	Unsorted_L14
Seq80621;ee=0.015;size=1;	Unsorted_E50
Seq82854;ee=0.011;size=1;	Unsorted_H29
Seq84293;ee=0.015;size=1;	Unsorted_Q70
Seq84337;ee=0.016;size=1;	Unsorted_B59
Seq85869;ee=1;size=1;	Unsorted_J12
Seq86289;ee=0.027;size=1;	Unsorted_C38
Seq86479;ee=0.0062;size=1;	Unsorted_N27
Seq87810;ee=0.11;size=1;	Unsorted_I60
Seq88282;ee=0.012;size=1;	Unsorted_H50
Seq89269;ee=0.37;size=1;	Unsorted_L1
Seq90100;ee=0.013;size=1;	Unsorted_L42
Seq92046;ee=0.14;size=1;	Unsorted_J41
Seq92926;ee=0.022;size=1;	Unsorted_J6
Seq93049;ee=0.49;size=1;	Unsorted_P74
Seq94124;ee=0.018;size=1;	Unsorted_Q52
Seq95705;ee=0.018;size=1;	Unsorted_K27
Seq97084;ee=0.016;size=1;	Unsorted_B47
Seq97202;ee=0.012;size=1;	Unsorted_P5
Seq99983;ee=0.35;size=1;	Unsorted_E52
Seq100139;ee=0.051;size=1;	Unsorted_Q51
Seq101438;ee=0.0059;size=1;	Unsorted_A38
Seq102302;ee=0.012;size=1;	Unsorted_A64
Seq104444;ee=0.021;size=1;	Unsorted_F40
Seq105213;ee=0.014;size=1;	Unsorted_O43
Seq106036;ee=0.19;size=1;	Unsorted_F18
Seq106848;ee=0.026;size=1;	Unsorted_E49
Seq108536;ee=0.05;size=1;	Unsorted_E36
Seq112700;ee=0.0062;size=1;	VEGF19_N
Seq114672;ee=0.38;size=1;	Unsorted_L15
Seq116872;ee=0.015;size=1;	Unsorted_Q18
Seq116924;ee=0.009;size=1;	Unsorted_A30
Seq117953;ee=0.16;size=1;	Unsorted_C68
Seq118486;ee=0.014;size=1;	PE2_O
Seq118961;ee=0.011;size=1;	Unsorted_P31
Seq119298;ee=0.018;size=1;	CTLA-Tris-Carb6_K
Seq119776;ee=0.017;size=1;	Unsorted_B71
Seq120417;ee=0.015;size=1;	Unsorted_E57
Seq121846;ee=0.51;size=1;	Unsorted_P68
Seq123729;ee=0.011;size=1;	Unsorted_H2
Seq126046;ee=0.015;size=1;	Unsorted_Q42
Seq126491;ee=0.011;size=1;	Unsorted_H34
Seq128089;ee=0.013;size=1;	Unsorted_L13
Seq128532;ee=0.23;size=1;	Unsorted_E15
Seq131110;ee=0.21;size=1;	Unsorted_E11
Seq134047;ee=0.0073;size=1;	Unsorted_N43
Seq135801;ee=0.012;size=1;	Unsorted_N34
Seq136223;ee=0.3;size=1;	Unsorted_L22
Seq137003;ee=0.013;size=1;	Unsorted_L5
Seq138637;ee=0.22;size=1;	Unsorted_L28
Seq138962;ee=0.2;size=1;	Unsorted_I2
Seq139028;ee=0.0059;size=1;	Unsorted_A42
