Seq2;ee=0.014;size=26387;	Unsorted_L38
Seq481;ee=0.0062;size=222;	PE9_N
Seq480;ee=0.0059;size=223;	GFP47_A
Seq500;ee=0.0059;size=215;	Unsorted_A29
Seq518;ee=0.0059;size=212;	Unsorted_A72
Seq509;ee=0.0059;size=214;	CTLA-Avidin24_A
Seq523;ee=0.012;size=210;	Unsorted_P35
Seq522;ee=0.01;size=211;	Unsorted_A71
Seq532;ee=0.0059;size=206;	Unsorted_A23
Seq531;ee=0.0059;size=207;	GFP36_A
Seq541;ee=0.0059;size=201;	Luciferase22_A
Seq565;ee=0.0059;size=194;	PD1-Avidin23_A
Seq612;ee=0.017;size=182;	Unsorted_J12
Seq614;ee=0.0059;size=182;	GFP37_A
Seq621;ee=0.0059;size=179;	Unsorted_A51
Seq631;ee=0.0059;size=176;	Unsorted_A34
Seq638;ee=0.0092;size=175;	PD1-Avidin49_A
Seq635;ee=0.012;size=175;	Unsorted_P58
Seq656;ee=0.16;size=172;	Unsorted_J22
Seq657;ee=0.0059;size=172;	Unsorted_A12
Seq663;ee=0.0059;size=170;	Unsorted_A50
Seq655;ee=0.0059;size=172;	GFP18_A
Seq672;ee=0.017;size=168;	Unsorted_J64
Seq673;ee=0.0059;size=168;	Unsorted_A2
Seq676;ee=0.0059;size=168;	Unsorted_A70
Seq798;ee=0.017;size=147;	Unsorted_E48
Seq808;ee=0.012;size=146;	Unsorted_P48
Seq819;ee=0.013;size=145;	Unsorted_L52
Seq831;ee=0.015;size=142;	Unsorted_L50
Seq836;ee=0.0098;size=142;	Unsorted_A14
Seq838;ee=0.017;size=141;	Unsorted_J45
Seq898;ee=0.0059;size=133;	Unsorted_A68
Seq897;ee=0.0059;size=133;	Unsorted_A62
Seq906;ee=0.0062;size=132;	VEGF21_N
Seq914;ee=0.0062;size=131;	CTLA-Avidin9_N
Seq926;ee=0.0059;size=130;	CTLA-Avidin46_A
Seq950;ee=0.011;size=127;	PD1-Avidin46_A
Seq963;ee=0.012;size=126;	Native_P1
Seq967;ee=0.0059;size=125;	CTLA-Avidin47_A
Seq974;ee=0.013;size=125;	Unsorted_L48
Seq983;ee=0.015;size=124;	PD1-Avidin11_E
Seq1019;ee=0.012;size=121;	Unsorted_P75
Seq1043;ee=0.015;size=119;	Unsorted_E34
Seq1046;ee=0.0059;size=119;	CTLA-Avidin25_A
Seq1056;ee=0.013;size=118;	Unsorted_L14
Seq1059;ee=0.017;size=118;	Unsorted_J29
Seq1066;ee=0.0062;size=117;	Native_N1
Seq1087;ee=0.0059;size=115;	GFP4_A
Seq1108;ee=0.017;size=113;	Native_B1
Seq1121;ee=0.13;size=112;	Unsorted_L16
Seq1118;ee=0.0059;size=112;	GFP33_A
Seq1114;ee=0.0062;size=113;	VEGF24_N
Seq1147;ee=0.0059;size=110;	GFP19_A
Seq1177;ee=0.017;size=107;	Unsorted_J63
Seq1194;ee=0.017;size=105;	Unsorted_J1
Seq1213;ee=0.019;size=103;	Unsorted_F19
Seq1231;ee=0.014;size=102;	PE34_O
Seq1308;ee=0.0059;size=97;	PD1-Avidin39_A
Seq1334;ee=0.072;size=95;	PE48_O
Seq1337;ee=0.0059;size=95;	Unsorted_A44
Seq1332;ee=0.0092;size=95;	Luciferase50_A
Seq1345;ee=0.0062;size=95;	Unsorted_N54
Seq1356;ee=0.017;size=94;	Unsorted_J23
Seq1351;ee=0.013;size=94;	Unsorted_P9
Seq1361;ee=0.012;size=94;	Luciferase23_N
Seq1397;ee=0.014;size=91;	Unsorted_L24
Seq1414;ee=0.0062;size=90;	CTLA-Avidin3_N
Seq1422;ee=0.017;size=90;	Unsorted_F40
Seq1429;ee=0.0059;size=90;	GFP46_A
Seq1438;ee=0.023;size=89;	Unsorted_C73
Seq1443;ee=0.012;size=89;	Unsorted_P60
Seq1446;ee=0.017;size=89;	Unsorted_J74
Seq1480;ee=0.011;size=86;	PD1-Avidin8_A
Seq1516;ee=0.013;size=84;	Unsorted_L74
Seq1518;ee=0.013;size=84;	Unsorted_P33
Seq1533;ee=0.0059;size=83;	GFP15_A
Seq1549;ee=0.0059;size=82;	Unsorted_A8
Seq1591;ee=0.016;size=80;	Unsorted_N40
Seq1605;ee=0.0062;size=80;	VEGF1_N
Seq1614;ee=0.0059;size=79;	GFP28_A
Seq1623;ee=0.012;size=79;	Unsorted_P39
Seq1636;ee=0.0059;size=78;	CTLA-Avidin50_A
Seq1634;ee=0.0059;size=78;	CTLA-Avidin43_A
Seq1641;ee=0.0062;size=78;	PD1-Avidin1_A
Seq1673;ee=0.015;size=77;	Unsorted_E22
Seq1687;ee=0.0059;size=76;	Unsorted_A65
Seq1702;ee=0.019;size=76;	Unsorted_J68
Seq1746;ee=0.012;size=74;	Unsorted_P53
Seq1745;ee=0.017;size=74;	Unsorted_I17
Seq1780;ee=0.014;size=72;	Unsorted_L19
Seq1787;ee=0.013;size=72;	Unsorted_L10
Seq1793;ee=0.011;size=72;	Luciferase41_N
Seq1795;ee=0.016;size=72;	Unsorted_B60
Seq1800;ee=0.0062;size=72;	Unsorted_N17
Seq1829;ee=0.43;size=71;	Unsorted_I72
Seq1844;ee=0.0059;size=70;	Unsorted_A4
Seq1872;ee=0.017;size=69;	Unsorted_J42
Seq1904;ee=0.012;size=68;	CTLA-Avidin4_H
Seq1903;ee=0.084;size=68;	Unsorted_P37
Seq1941;ee=0.014;size=67;	Unsorted_L5
Seq1966;ee=0.017;size=65;	Unsorted_J43
Seq1963;ee=0.0062;size=65;	PD1-Avidin5_N
Seq1973;ee=0.021;size=65;	Unsorted_G15
Seq1979;ee=0.0062;size=65;	Unsorted_N59
Seq1996;ee=0.017;size=64;	Unsorted_J41
Seq2023;ee=0.017;size=64;	Unsorted_F31
Seq2021;ee=0.29;size=64;	Unsorted_F71
Seq2033;ee=0.015;size=63;	Unsorted_E66
Seq2043;ee=0.019;size=63;	Unsorted_F17
Seq2082;ee=0.012;size=62;	Unsorted_P27
Seq2112;ee=0.014;size=61;	Unsorted_D46
Seq2111;ee=0.077;size=61;	Unsorted_P18
Seq2134;ee=0.0059;size=61;	PD1-Avidin41_A
Seq2174;ee=0.014;size=59;	Unsorted_L25
Seq2191;ee=0.0059;size=59;	GFP27_A
Seq2208;ee=0.049;size=58;	Unsorted_L15
Seq2221;ee=0.013;size=58;	Unsorted_L56
Seq2279;ee=0.018;size=57;	Unsorted_J48
Seq2327;ee=0.0059;size=55;	Unsorted_A38
Seq2346;ee=0.015;size=55;	Unsorted_E35
Seq2388;ee=0.0062;size=53;	VEGF42_N
Seq2406;ee=0.056;size=53;	PD1-Avidin50_N
Seq2411;ee=0.0062;size=53;	Unsorted_N23
Seq2419;ee=0.016;size=52;	Unsorted_B13
Seq2446;ee=0.017;size=52;	Unsorted_F4
Seq2449;ee=0.0059;size=52;	Unsorted_A63
Seq2484;ee=0.026;size=51;	Unsorted_G68
Seq2495;ee=0.017;size=51;	Unsorted_J40
Seq2502;ee=0.014;size=51;	Unsorted_L41
Seq2518;ee=0.0059;size=50;	Unsorted_A19
Seq2527;ee=0.017;size=50;	Unsorted_J67
Seq2567;ee=0.0062;size=49;	VEGF48_N
Seq2571;ee=0.011;size=49;	VEGF34_N
Seq2574;ee=0.014;size=49;	PE40_O
Seq2618;ee=0.011;size=48;	VEGF16_N
Seq2627;ee=0.042;size=48;	Unsorted_J10
Seq2630;ee=0.16;size=48;	Unsorted_J35
Seq2634;ee=0.014;size=48;	Unsorted_D21
Seq2725;ee=0.0059;size=46;	Luciferase7_A
Seq2735;ee=0.0062;size=46;	Unsorted_N3
Seq2739;ee=0.015;size=46;	Unsorted_E56
Seq2742;ee=0.013;size=46;	Unsorted_L45
Seq2750;ee=0.038;size=46;	Unsorted_P14
Seq2763;ee=0.011;size=45;	Unsorted_N31
Seq2772;ee=0.0059;size=45;	Unsorted_A67
Seq2801;ee=0.017;size=45;	Native_E1
Seq2833;ee=0.017;size=44;	Unsorted_D12
Seq2849;ee=0.013;size=44;	Unsorted_L34
Seq2873;ee=0.0062;size=43;	VEGF6_N
Seq2868;ee=0.019;size=43;	Unsorted_J65
Seq2894;ee=0.012;size=43;	Unsorted_P1
Seq2899;ee=0.017;size=43;	Unsorted_F44
Seq2918;ee=0.011;size=42;	Unsorted_H22
Seq2930;ee=0.0059;size=42;	Unsorted_A54
Seq2959;ee=0.0059;size=42;	Unsorted_A21
Seq2975;ee=0.0059;size=41;	Unsorted_A17
Seq3003;ee=0.0062;size=41;	Unsorted_N62
Seq3027;ee=0.012;size=40;	Unsorted_P8
Seq3090;ee=0.015;size=39;	Unsorted_E57
Seq3106;ee=0.017;size=39;	Unsorted_B45
Seq3099;ee=0.0059;size=39;	Unsorted_A43
Seq3119;ee=0.017;size=39;	Unsorted_I46
Seq3127;ee=0.013;size=39;	Unsorted_L53
Seq3136;ee=0.0062;size=39;	Unsorted_N18
Seq3142;ee=0.017;size=39;	Unsorted_L75
Seq3157;ee=0.012;size=38;	Unsorted_P62
Seq3220;ee=0.0059;size=37;	GFP38_A
Seq3231;ee=0.0059;size=37;	PD1-Avidin25_A
Seq3313;ee=0.0059;size=36;	GFP1_A
Seq3306;ee=0.0059;size=36;	Unsorted_A26
Seq3316;ee=0.0062;size=36;	Unsorted_N24
Seq3320;ee=0.0059;size=36;	Unsorted_A58
Seq3332;ee=0.013;size=36;	Unsorted_L65
Seq3345;ee=0.015;size=35;	VEGF8_E
Seq3343;ee=0.0059;size=35;	Unsorted_A69
Seq3355;ee=0.025;size=35;	Unsorted_C16
Seq3361;ee=0.0062;size=35;	Luciferase44_N
Seq3360;ee=0.017;size=35;	Unsorted_Q62
Seq3404;ee=0.014;size=35;	Unsorted_D52
Seq3408;ee=0.015;size=35;	Unsorted_Q51
Seq3470;ee=0.18;size=34;	Unsorted_A40
Seq3473;ee=0.011;size=34;	Unsorted_H63
Seq3477;ee=0.0062;size=34;	PD1-Avidin27_N
Seq3496;ee=0.1;size=34;	Unsorted_F61
Seq3488;ee=0.49;size=34;	Unsorted_B59
Seq3510;ee=0.017;size=33;	Unsorted_J26
Seq3538;ee=0.017;size=33;	Unsorted_F56
Seq3532;ee=0.0062;size=33;	Unsorted_N38
Seq3526;ee=0.017;size=33;	Unsorted_F5
Seq3554;ee=0.0088;size=33;	Unsorted_M16
Seq3571;ee=0.0062;size=33;	Luciferase34_N
Seq3611;ee=0.018;size=32;	Unsorted_I8
Seq3627;ee=0.012;size=32;	PD1-Avidin35_A
Seq3632;ee=0.017;size=32;	Unsorted_I52
Seq3674;ee=0.017;size=31;	Unsorted_I12
Seq3657;ee=0.012;size=32;	Unsorted_P52
Seq3687;ee=0.078;size=31;	Native_F1
Seq3683;ee=0.0059;size=31;	Unsorted_A1
Seq3699;ee=0.0062;size=31;	VEGF17_N
Seq3704;ee=0.018;size=31;	Unsorted_P21
Seq3734;ee=0.017;size=31;	Unsorted_J34
Seq3785;ee=0.0062;size=30;	VEGF30_N
Seq3805;ee=0.0062;size=30;	Unsorted_N41
Seq3883;ee=0.012;size=29;	Unsorted_P10
Seq3881;ee=0.0059;size=29;	Unsorted_A33
Seq3955;ee=0.0059;size=28;	GFP12_A
Seq3952;ee=0.0062;size=28;	VEGF4_N
Seq3999;ee=0.014;size=28;	Unsorted_D45
Seq4018;ee=0.0062;size=27;	CTLA-Avidin33_N
Seq4024;ee=0.0059;size=27;	Luciferase24_A
Seq4052;ee=0.017;size=27;	Unsorted_F7
Seq4058;ee=0.0062;size=27;	VEGF7_N
Seq4076;ee=0.018;size=27;	Unsorted_K17
Seq4079;ee=0.013;size=27;	Unsorted_L7
Seq4088;ee=0.015;size=26;	Unsorted_E15
Seq4118;ee=0.0059;size=26;	Unsorted_A24
Seq4135;ee=0.015;size=26;	Unsorted_E5
Seq4134;ee=0.017;size=26;	Unsorted_B11
Seq4142;ee=0.012;size=26;	Unsorted_P25
Seq4166;ee=0.012;size=26;	Unsorted_P68
Seq4168;ee=0.025;size=26;	Unsorted_I60
Seq4173;ee=0.4;size=25;	Unsorted_N6
Seq4210;ee=0.019;size=25;	Unsorted_J33
Seq4206;ee=0.015;size=25;	Unsorted_E54
Seq4225;ee=0.0059;size=25;	Unsorted_A7
Seq4254;ee=0.0059;size=25;	PE49_A
Seq4252;ee=0.0059;size=25;	Unsorted_A22
Seq4299;ee=0.014;size=24;	Unsorted_E68
Seq4324;ee=0.012;size=24;	Unsorted_P4
Seq4329;ee=0.017;size=24;	Unsorted_J71
Seq4351;ee=0.0062;size=24;	PD1-Avidin30_N
Seq4369;ee=0.28;size=24;	Unsorted_L40
Seq4393;ee=0.017;size=23;	Unsorted_F30
Seq4398;ee=0.3;size=23;	Unsorted_L29
Seq4396;ee=0.015;size=23;	Unsorted_E33
Seq4438;ee=0.016;size=23;	Unsorted_B1
Seq4455;ee=0.016;size=23;	Unsorted_B4
Seq4508;ee=0.0059;size=22;	PE10_A
Seq4524;ee=0.017;size=22;	Unsorted_J32
Seq4542;ee=0.021;size=22;	Unsorted_G30
Seq4550;ee=0.0059;size=22;	Unsorted_A15
Seq4568;ee=0.017;size=22;	Unsorted_I40
Seq4613;ee=0.0062;size=21;	Luciferase4_N
Seq4608;ee=0.022;size=21;	Unsorted_C13
Seq4619;ee=0.077;size=21;	Unsorted_P3
Seq4627;ee=0.017;size=21;	Unsorted_F18
Seq4641;ee=0.018;size=21;	Unsorted_F48
Seq4680;ee=0.025;size=21;	Unsorted_G44
Seq4693;ee=0.29;size=21;	Unsorted_Q18
Seq4712;ee=0.0059;size=21;	CTLA-Avidin32_A
Seq4723;ee=0.014;size=21;	Unsorted_L67
Seq4787;ee=0.0059;size=20;	Unsorted_A42
Seq4798;ee=0.011;size=20;	PD1-Avidin7_N
Seq4821;ee=0.015;size=20;	Unsorted_E37
Seq4828;ee=0.017;size=20;	Unsorted_E51
Seq4843;ee=0.013;size=20;	Unsorted_L18
Seq4870;ee=0.014;size=19;	Unsorted_M36
Seq4889;ee=0.013;size=19;	Unsorted_L23
Seq4891;ee=0.014;size=19;	Unsorted_O36
Seq4899;ee=0.0059;size=19;	CTLA-Avidin2_A
Seq4885;ee=0.015;size=19;	Unsorted_E52
Seq4915;ee=0.017;size=19;	Unsorted_J50
Seq4923;ee=0.014;size=19;	Unsorted_L57
Seq4924;ee=0.015;size=19;	Unsorted_E44
Seq5003;ee=0.018;size=18;	Unsorted_I61
Seq5001;ee=0.65;size=18;	Unsorted_Q25
Seq5026;ee=0.012;size=18;	Unsorted_P34
Seq5044;ee=0.014;size=18;	PE37_O
Seq5048;ee=0.015;size=18;	Unsorted_E50
Seq5052;ee=0.015;size=18;	Unsorted_E27
Seq5120;ee=0.012;size=18;	Unsorted_P13
Seq5123;ee=0.017;size=18;	Unsorted_J28
Seq5132;ee=0.011;size=18;	Unsorted_H52
Seq5143;ee=0.0084;size=17;	Unsorted_M47
Seq5150;ee=0.0059;size=17;	GFP40_A
Seq5160;ee=0.015;size=17;	Unsorted_E49
Seq5176;ee=0.015;size=17;	PD1-Avidin13_E
Seq5194;ee=0.0062;size=17;	Unsorted_N63
Seq5258;ee=0.0059;size=17;	PE25_A
Seq5297;ee=0.076;size=16;	Unsorted_E1
Seq5332;ee=0.0086;size=16;	Unsorted_M65
Seq5427;ee=0.017;size=16;	Unsorted_F28
Seq5444;ee=0.0085;size=16;	Unsorted_M64
Seq5483;ee=0.011;size=15;	Luciferase21_N
Seq5497;ee=0.018;size=15;	Unsorted_K7
Seq5518;ee=0.0059;size=15;	Unsorted_A61
Seq5534;ee=0.014;size=15;	Unsorted_D10
Seq5553;ee=0.014;size=15;	CTLA-Tris-Carb16_O
Seq5557;ee=0.015;size=15;	Unsorted_E67
Seq5589;ee=0.017;size=15;	Unsorted_B7
Seq5651;ee=0.0059;size=14;	Unsorted_A55
Seq5664;ee=0.0062;size=14;	Luciferase42_N
Seq5677;ee=0.041;size=14;	Unsorted_E4
Seq5685;ee=0.017;size=14;	Unsorted_B71
Seq5687;ee=0.017;size=14;	Unsorted_I31
Seq5688;ee=0.015;size=14;	Unsorted_Q23
Seq5740;ee=0.015;size=14;	Unsorted_D69
Seq5741;ee=0.017;size=14;	Unsorted_J15
Seq5749;ee=0.015;size=14;	Unsorted_Q27
Seq5768;ee=0.023;size=14;	Unsorted_C37
Seq5777;ee=0.0059;size=14;	CTLA-Avidin28_A
Seq5784;ee=0.0059;size=14;	Unsorted_A20
Seq5775;ee=0.02;size=14;	Unsorted_G75
Seq5855;ee=0.014;size=13;	Unsorted_D17
Seq5885;ee=0.012;size=13;	VEGF33_N
Seq5927;ee=0.017;size=13;	Unsorted_J20
Seq5938;ee=0.0062;size=13;	Unsorted_N43
Seq5947;ee=0.015;size=13;	PE27_O
Seq5960;ee=0.0062;size=13;	Luciferase16_N
Seq5976;ee=0.015;size=13;	Unsorted_E24
Seq6033;ee=0.017;size=13;	Unsorted_J16
Seq6034;ee=0.0059;size=13;	Unsorted_A49
Seq6046;ee=0.012;size=12;	Unsorted_P31
Seq6059;ee=0.0087;size=12;	Unsorted_M32
Seq6055;ee=0.015;size=12;	Unsorted_E26
Seq6079;ee=0.015;size=12;	Unsorted_E28
Seq6095;ee=0.017;size=12;	Unsorted_J2
Seq6109;ee=0.0062;size=12;	Unsorted_N16
Seq6120;ee=0.017;size=12;	Unsorted_J47
Seq6161;ee=0.0062;size=12;	Unsorted_N37
Seq6213;ee=0.017;size=12;	Unsorted_F1
Seq6225;ee=0.014;size=12;	PE26_O
Seq6229;ee=0.058;size=12;	Unsorted_Q42
Seq6242;ee=0.018;size=12;	Unsorted_B24
Seq6281;ee=0.017;size=11;	Unsorted_J51
Seq6325;ee=0.043;size=11;	Unsorted_J31
Seq6319;ee=0.2;size=11;	Unsorted_B47
Seq6357;ee=0.065;size=11;	Unsorted_O8
Seq6377;ee=0.094;size=11;	Unsorted_P40
Seq6367;ee=0.042;size=11;	Unsorted_I49
Seq6393;ee=0.017;size=11;	Unsorted_I24
Seq6399;ee=0.0062;size=11;	Unsorted_N28
Seq6514;ee=0.015;size=10;	Unsorted_E11
Seq6493;ee=0.015;size=10;	Unsorted_E21
Seq6519;ee=0.017;size=10;	Unsorted_I34
Seq6569;ee=0.0088;size=10;	Unsorted_M45
Seq6581;ee=0.018;size=10;	Unsorted_B40
Seq6659;ee=0.017;size=10;	Unsorted_J6
Seq6678;ee=0.0059;size=10;	Unsorted_A10
Seq6682;ee=0.031;size=10;	Unsorted_E20
Seq6693;ee=0.015;size=10;	Unsorted_Q63
Seq6710;ee=0.0062;size=10;	Unsorted_N15
Seq6717;ee=0.015;size=10;	Unsorted_E32
Seq6740;ee=0.0062;size=10;	Unsorted_N60
Seq6758;ee=0.014;size=10;	Unsorted_O19
Seq6783;ee=0.017;size=9;	Unsorted_F11
Seq6799;ee=0.016;size=9;	Unsorted_D27
Seq6823;ee=0.017;size=9;	Unsorted_F57
Seq6822;ee=0.0062;size=9;	VEGF26_N
Seq6867;ee=0.017;size=9;	Unsorted_B68
Seq6873;ee=0.016;size=9;	Unsorted_B25
Seq6868;ee=0.015;size=9;	Unsorted_Q33
Seq6886;ee=0.015;size=9;	Unsorted_Q41
Seq6923;ee=0.015;size=9;	Unsorted_L4
Seq6948;ee=0.0059;size=9;	Unsorted_A16
Seq6951;ee=0.017;size=9;	Unsorted_F64
Seq6975;ee=0.0059;size=9;	PD1-Avidin32_A
Seq6981;ee=0.011;size=9;	Unsorted_H45
Seq7000;ee=0.019;size=9;	Unsorted_Q34
Seq6999;ee=0.015;size=9;	Unsorted_D48
Seq7017;ee=0.0089;size=9;	Unsorted_M13
Seq7073;ee=0.0059;size=8;	GFP21_A
Seq7113;ee=0.017;size=8;	Native_J1
Seq7132;ee=0.0059;size=8;	Unsorted_A5
Seq7217;ee=0.026;size=8;	Unsorted_C62
Seq7230;ee=0.012;size=8;	Unsorted_P24
Seq7238;ee=0.012;size=8;	Unsorted_P73
Seq7242;ee=0.02;size=8;	Unsorted_G5
Seq7244;ee=0.014;size=8;	PE46_O
Seq7246;ee=0.011;size=8;	Unsorted_H39
Seq7341;ee=0.015;size=8;	Unsorted_E47
Seq7358;ee=0.0062;size=8;	VEGF43_N
Seq7366;ee=0.013;size=8;	Unsorted_L3
Seq7363;ee=0.014;size=8;	Unsorted_L43
Seq7466;ee=0.0062;size=7;	Unsorted_N49
Seq7501;ee=0.0062;size=7;	Unsorted_N73
Seq7512;ee=0.022;size=7;	Unsorted_C26
Seq7514;ee=0.014;size=7;	Unsorted_Q69
Seq7531;ee=0.0062;size=7;	Luciferase8_N
Seq7536;ee=0.024;size=7;	Unsorted_B37
Seq7544;ee=0.015;size=7;	Unsorted_Q22
Seq7541;ee=0.018;size=7;	Unsorted_F2
Seq7604;ee=0.011;size=7;	Unsorted_H2
Seq7622;ee=0.019;size=7;	Unsorted_J27
Seq7645;ee=0.059;size=7;	Unsorted_E3
Seq7659;ee=0.018;size=7;	Unsorted_P54
Seq7655;ee=0.017;size=7;	Unsorted_F27
Seq7711;ee=0.017;size=7;	Unsorted_J18
Seq7716;ee=0.0059;size=7;	Unsorted_A66
Seq7746;ee=0.0062;size=6;	Luciferase1_N
Seq7752;ee=0.011;size=6;	Unsorted_P69
Seq7770;ee=0.0062;size=6;	PD1-Avidin14_A
