Seq2;ee=0.013;size=118913;	Unsorted_L37
Seq1472;ee=0.017;size=58;	Unsorted_O60
Seq1489;ee=0.0062;size=57;	VEGF17_N
Seq1488;ee=0.015;size=57;	Unsorted_E63
Seq1515;ee=0.012;size=57;	Unsorted_P4
Seq1529;ee=0.013;size=56;	Unsorted_L68
Seq1555;ee=0.0059;size=55;	GFP32_A
Seq1559;ee=0.011;size=55;	Unsorted_H5
Seq1562;ee=0.0059;size=55;	CTLA-Avidin16_A
Seq1569;ee=0.0059;size=55;	Unsorted_A61
Seq1580;ee=0.014;size=55;	Unsorted_D30
Seq1583;ee=0.014;size=55;	Unsorted_D45
Seq1585;ee=0.0086;size=55;	Unsorted_M26
Seq1587;ee=0.011;size=55;	Unsorted_H62
Seq1597;ee=0.058;size=54;	Unsorted_H52
Seq1605;ee=0.012;size=54;	Native_H1
Seq1628;ee=0.063;size=53;	Unsorted_J55
Seq1626;ee=0.015;size=53;	Unsorted_E61
Seq1666;ee=0.0062;size=53;	Luciferase8_N
Seq1673;ee=0.012;size=53;	Unsorted_P33
Seq1667;ee=0.011;size=53;	Unsorted_H45
Seq1681;ee=0.0059;size=52;	Unsorted_A39
Seq1761;ee=0.013;size=50;	Unsorted_L5
Seq1780;ee=0.0062;size=50;	VEGF43_N
Seq1786;ee=0.015;size=50;	Unsorted_Q61
Seq1789;ee=0.014;size=49;	Unsorted_D69
Seq1802;ee=0.0062;size=49;	Unsorted_N41
Seq1808;ee=0.014;size=49;	Unsorted_O19
Seq1813;ee=0.0059;size=49;	Unsorted_A49
Seq1825;ee=0.014;size=49;	Unsorted_O66
Seq1833;ee=0.017;size=48;	Unsorted_B64
Seq1842;ee=0.027;size=48;	CTLA-Tris-Carb13_O
Seq1880;ee=0.0059;size=47;	Unsorted_A42
Seq1884;ee=0.021;size=47;	Unsorted_B47
Seq1903;ee=0.014;size=47;	Unsorted_L21
Seq1919;ee=0.0062;size=46;	Unsorted_N40
Seq1934;ee=0.017;size=46;	Unsorted_P37
Seq1955;ee=0.069;size=46;	CTLA-Avidin44_N
Seq1972;ee=0.014;size=45;	Unsorted_O70
Seq1987;ee=0.017;size=45;	Unsorted_J69
Seq2008;ee=0.0059;size=45;	PD1-Avidin25_A
Seq2059;ee=0.015;size=44;	Unsorted_Q36
Seq2096;ee=0.0062;size=43;	Unsorted_N51
Seq2118;ee=0.015;size=43;	Unsorted_Q67
Seq2125;ee=0.02;size=43;	Unsorted_J20
Seq2128;ee=0.015;size=43;	Unsorted_Q49
Seq2132;ee=0.043;size=43;	Unsorted_B65
Seq2181;ee=0.0062;size=42;	Luciferase5_N
Seq2186;ee=0.0062;size=42;	VEGF42_N
Seq2203;ee=0.011;size=41;	Unsorted_P73
Seq2238;ee=0.0059;size=41;	Unsorted_A73
Seq2276;ee=0.015;size=40;	Unsorted_Q4
Seq2294;ee=0.015;size=40;	Unsorted_Q2
Seq2297;ee=0.0062;size=40;	PD1-Avidin42_N
Seq2308;ee=0.015;size=39;	PE28_O
Seq2312;ee=0.014;size=39;	Unsorted_O43
Seq2365;ee=0.014;size=39;	Unsorted_D16
Seq2410;ee=0.018;size=38;	Unsorted_I49
Seq2432;ee=0.015;size=38;	Unsorted_Q63
Seq2429;ee=0.017;size=38;	Unsorted_F35
Seq2445;ee=0.017;size=37;	Unsorted_J2
Seq2475;ee=0.017;size=37;	Unsorted_J59
Seq2487;ee=0.014;size=37;	Unsorted_D10
Seq2502;ee=0.018;size=37;	Unsorted_B5
Seq2510;ee=0.014;size=36;	Unsorted_Q69
Seq2509;ee=0.014;size=36;	PE15_O
Seq2550;ee=0.014;size=36;	PE1_O
Seq2581;ee=0.014;size=36;	Unsorted_D6
Seq2582;ee=0.0059;size=36;	GFP37_A
Seq2598;ee=0.0059;size=35;	GFP4_A
Seq2599;ee=0.0059;size=35;	Unsorted_A4
Seq2615;ee=0.0062;size=35;	PD1-Avidin5_N
Seq2699;ee=0.0059;size=34;	CTLA-Avidin24_A
Seq2724;ee=0.0062;size=34;	Unsorted_N18
Seq2738;ee=0.0062;size=34;	Luciferase42_N
Seq2737;ee=0.0062;size=34;	Unsorted_N70
Seq2755;ee=0.014;size=34;	Unsorted_O44
Seq2788;ee=0.017;size=33;	Unsorted_O3
Seq2791;ee=0.015;size=33;	Unsorted_E10
Seq2797;ee=0.014;size=33;	PE39_O
Seq2800;ee=0.017;size=33;	Unsorted_J39
Seq2812;ee=0.017;size=33;	Unsorted_F10
Seq2878;ee=0.0062;size=32;	PD1-Avidin50_N
Seq2906;ee=0.0059;size=32;	GFP9_A
Seq2937;ee=0.0062;size=31;	Unsorted_N65
Seq3000;ee=0.014;size=31;	PE31_O
Seq2999;ee=0.011;size=31;	Unsorted_P56
Seq3006;ee=0.0087;size=31;	Unsorted_M43
Seq3018;ee=0.012;size=31;	Unsorted_P15
Seq3021;ee=0.012;size=31;	Unsorted_P38
Seq3035;ee=0.0059;size=30;	Unsorted_A71
Seq3042;ee=0.037;size=30;	Unsorted_P61
Seq3133;ee=0.016;size=29;	Unsorted_B62
Seq3139;ee=0.015;size=29;	Unsorted_Q60
Seq3146;ee=0.016;size=29;	Unsorted_L57
Seq3149;ee=0.015;size=29;	Unsorted_P18
Seq3167;ee=0.0093;size=29;	Unsorted_M23
Seq3205;ee=0.0059;size=29;	Native_A1
Seq3202;ee=0.017;size=29;	Unsorted_J5
Seq3225;ee=0.0062;size=29;	Unsorted_N59
Seq3258;ee=0.062;size=28;	Unsorted_C14
Seq3279;ee=0.015;size=28;	Unsorted_Q6
Seq3354;ee=0.017;size=28;	Unsorted_F31
