Seq2;ee=0.0059;size=154920;	Unsorted_A75
Seq417;ee=0.024;size=495;	Unsorted_C41
Seq418;ee=0.017;size=492;	Unsorted_I60
Seq422;ee=0.016;size=484;	Unsorted_B62
Seq421;ee=0.014;size=484;	Unsorted_L45
Seq427;ee=0.023;size=475;	Unsorted_C75
Seq426;ee=0.015;size=478;	Unsorted_E62
Seq425;ee=0.017;size=478;	Unsorted_I5
Seq433;ee=0.0062;size=470;	Unsorted_N66
Seq434;ee=0.015;size=468;	Unsorted_Q63
Seq430;ee=0.016;size=471;	Unsorted_B1
Seq431;ee=0.012;size=471;	Unsorted_P53
Seq432;ee=0.15;size=471;	Unsorted_Q58
Seq435;ee=0.015;size=468;	Unsorted_Q30
Seq437;ee=0.017;size=452;	Unsorted_J71
Seq439;ee=0.011;size=445;	Unsorted_H51
Seq442;ee=0.015;size=439;	Unsorted_E65
Seq438;ee=0.0062;size=449;	Unsorted_N16
Seq443;ee=0.026;size=438;	Unsorted_C65
Seq451;ee=0.015;size=428;	Unsorted_Q54
Seq449;ee=0.017;size=430;	Unsorted_B61
Seq450;ee=0.015;size=429;	Unsorted_E43
Seq446;ee=0.11;size=434;	Unsorted_D49
Seq447;ee=0.014;size=433;	Unsorted_O28
Seq452;ee=0.015;size=428;	Unsorted_E42
Seq455;ee=0.015;size=425;	Unsorted_D14
Seq458;ee=0.017;size=420;	Unsorted_I7
Seq463;ee=0.016;size=415;	Unsorted_E29
Seq459;ee=0.015;size=420;	Unsorted_E7
Seq460;ee=0.0059;size=418;	Unsorted_A10
Seq461;ee=0.015;size=418;	Unsorted_D48
Seq462;ee=0.16;size=417;	Unsorted_F25
Seq464;ee=0.049;size=414;	Unsorted_I57
Seq465;ee=0.011;size=411;	Unsorted_H39
Seq466;ee=0.017;size=407;	Unsorted_F8
Seq467;ee=0.011;size=405;	Unsorted_H62
Seq468;ee=0.014;size=404;	Unsorted_D74
Seq478;ee=0.44;size=389;	Unsorted_O5
Seq470;ee=0.014;size=401;	Unsorted_D58
Seq479;ee=0.017;size=388;	Unsorted_I50
Seq476;ee=0.014;size=392;	Unsorted_D28
Seq475;ee=0.015;size=392;	Unsorted_E13
Seq477;ee=0.015;size=392;	Unsorted_E59
Seq481;ee=0.017;size=388;	Unsorted_F47
Seq483;ee=0.014;size=388;	Unsorted_L66
Seq484;ee=0.016;size=387;	Unsorted_B68
Seq489;ee=0.012;size=384;	Unsorted_P56
Seq491;ee=0.0062;size=379;	Unsorted_N74
Seq487;ee=0.022;size=386;	Unsorted_C32
Seq495;ee=0.017;size=377;	Unsorted_I41
Seq493;ee=0.022;size=378;	Unsorted_C50
Seq496;ee=0.017;size=375;	Unsorted_J46
Seq494;ee=0.0086;size=378;	Unsorted_M75
Seq498;ee=0.012;size=374;	Unsorted_P52
Seq499;ee=0.017;size=374;	Unsorted_I2
Seq501;ee=0.012;size=369;	Unsorted_P46
Seq502;ee=0.38;size=368;	Unsorted_C64
Seq500;ee=0.017;size=370;	Unsorted_F35
Seq503;ee=0.017;size=368;	Unsorted_F41
Seq505;ee=0.011;size=365;	Unsorted_H75
Seq512;ee=0.015;size=361;	Unsorted_E32
Seq514;ee=0.017;size=359;	Unsorted_F14
Seq510;ee=0.0062;size=362;	Unsorted_N46
Seq517;ee=0.0062;size=356;	Unsorted_N36
Seq515;ee=0.017;size=359;	Unsorted_J13
Seq516;ee=0.0062;size=359;	Unsorted_N60
Seq521;ee=0.013;size=353;	Unsorted_L6
Seq520;ee=0.015;size=354;	Unsorted_D10
Seq519;ee=0.017;size=355;	Unsorted_J69
Seq522;ee=0.0084;size=353;	Unsorted_M30
Seq523;ee=0.017;size=347;	Unsorted_J2
Seq526;ee=0.011;size=345;	Unsorted_P62
Seq529;ee=0.015;size=344;	Unsorted_E6
Seq528;ee=0.022;size=344;	Unsorted_C45
Seq531;ee=0.016;size=342;	Unsorted_O65
Seq532;ee=0.022;size=342;	Unsorted_C68
Seq533;ee=0.013;size=339;	Unsorted_L35
Seq536;ee=0.023;size=338;	Unsorted_C61
Seq535;ee=0.014;size=339;	Unsorted_O2
Seq539;ee=0.014;size=336;	Unsorted_D42
Seq538;ee=0.014;size=338;	Unsorted_O62
Seq534;ee=0.015;size=339;	Unsorted_Q53
Seq543;ee=0.015;size=334;	Unsorted_E35
Seq544;ee=0.014;size=333;	Native_O1
Seq546;ee=0.046;size=332;	Unsorted_E73
Seq548;ee=0.018;size=330;	Unsorted_F56
Seq550;ee=0.011;size=329;	Unsorted_P4
Seq553;ee=0.017;size=326;	Unsorted_I31
Seq557;ee=0.0062;size=320;	Unsorted_N19
Seq566;ee=0.0062;size=311;	Unsorted_N61
Seq562;ee=0.011;size=315;	Unsorted_H22
Seq564;ee=0.0062;size=313;	Unsorted_N48
Seq569;ee=0.016;size=308;	Unsorted_E3
Seq573;ee=0.017;size=302;	Unsorted_F26
Seq572;ee=0.015;size=306;	Unsorted_Q43
Seq571;ee=0.015;size=306;	Unsorted_O8
Seq575;ee=0.014;size=300;	Unsorted_O1
Seq576;ee=0.017;size=299;	Unsorted_J14
Seq580;ee=0.014;size=294;	Unsorted_O21
Seq577;ee=0.017;size=299;	Unsorted_I8
Seq582;ee=0.0062;size=293;	Unsorted_N58
Seq578;ee=0.014;size=298;	Unsorted_O45
Seq581;ee=0.014;size=293;	Unsorted_O36
Seq584;ee=0.9;size=292;	Unsorted_C51
Seq583;ee=0.016;size=292;	Unsorted_B64
Seq585;ee=0.018;size=291;	Unsorted_E67
Seq590;ee=0.017;size=288;	Unsorted_F30
Seq594;ee=0.0059;size=287;	Unsorted_A46
Seq592;ee=0.02;size=287;	Unsorted_G75
Seq591;ee=0.0062;size=288;	Unsorted_N21
Seq593;ee=0.017;size=287;	Unsorted_I30
Seq601;ee=0.0059;size=283;	GFP11_A
Seq600;ee=0.019;size=283;	Unsorted_K27
Seq603;ee=0.014;size=283;	Unsorted_D64
Seq604;ee=0.015;size=282;	Unsorted_Q60
Seq613;ee=0.017;size=276;	Unsorted_F2
Seq611;ee=0.047;size=277;	Unsorted_B33
Seq615;ee=0.017;size=276;	Unsorted_F67
Seq627;ee=0.12;size=271;	Unsorted_I56
Seq632;ee=0.011;size=268;	Unsorted_H64
Seq641;ee=0.061;size=263;	Unsorted_J5
Seq646;ee=0.0087;size=260;	Unsorted_M45
Seq643;ee=0.52;size=261;	Unsorted_C23
Seq651;ee=0.016;size=258;	Unsorted_B24
Seq652;ee=0.023;size=258;	Unsorted_C25
