Seq2;ee=0.0059;size=137135;	Unsorted_A6
Seq82;ee=0.0059;size=6483;	Unsorted_A8
Seq83;ee=0.0059;size=6448;	Unsorted_A2
Seq84;ee=0.0062;size=6441;	Unsorted_N43
Seq85;ee=0.0062;size=6328;	Unsorted_N54
Seq87;ee=0.0059;size=6154;	Unsorted_A21
Seq86;ee=0.015;size=6328;	Unsorted_E50
Seq88;ee=0.0059;size=6105;	Unsorted_A29
Seq91;ee=0.0059;size=5963;	Unsorted_A63
Seq89;ee=0.014;size=6064;	Unsorted_L1
Seq90;ee=0.013;size=6046;	Unsorted_L5
Seq92;ee=0.0059;size=5770;	Unsorted_A26
Seq93;ee=0.0059;size=5532;	Unsorted_A35
Seq94;ee=0.013;size=5275;	Unsorted_L18
Seq95;ee=0.015;size=4921;	Unsorted_E57
Seq96;ee=0.013;size=4921;	Unsorted_L42
Seq97;ee=0.015;size=4769;	Unsorted_E48
Seq98;ee=0.017;size=4758;	Unsorted_J63
Seq100;ee=0.012;size=4562;	Native_P1
Seq99;ee=0.017;size=4757;	Unsorted_J64
Seq101;ee=0.0059;size=4432;	Unsorted_A22
Seq102;ee=0.0059;size=4419;	Unsorted_A33
Seq104;ee=0.0059;size=3955;	Unsorted_A40
Seq103;ee=0.013;size=4329;	Unsorted_L67
Seq105;ee=0.0059;size=3914;	Unsorted_A54
Seq106;ee=0.017;size=3893;	Unsorted_J8
Seq107;ee=0.0059;size=3845;	Unsorted_A19
Seq108;ee=0.013;size=3719;	Unsorted_L50
Seq109;ee=0.017;size=3693;	Native_J1
Seq110;ee=0.015;size=3653;	Unsorted_L49
Seq111;ee=0.0062;size=3646;	Unsorted_N40
Seq112;ee=0.013;size=3538;	Unsorted_L8
Seq114;ee=0.02;size=3350;	Unsorted_G30
Seq113;ee=0.017;size=3434;	Unsorted_N73
Seq115;ee=0.017;size=3324;	Unsorted_J29
Seq116;ee=0.017;size=3197;	Unsorted_F31
Seq117;ee=0.013;size=3161;	Unsorted_L65
Seq119;ee=0.0062;size=3054;	Unsorted_N59
Seq118;ee=0.0059;size=3091;	Unsorted_A58
Seq120;ee=0.017;size=3028;	Native_B1
Seq121;ee=0.0059;size=3026;	Unsorted_A42
Seq122;ee=0.013;size=3015;	Unsorted_L7
Seq124;ee=0.0059;size=2968;	Unsorted_A28
Seq123;ee=0.0059;size=2988;	Unsorted_A16
Seq125;ee=0.013;size=2966;	Unsorted_L53
Seq126;ee=0.018;size=2949;	Unsorted_J1
Seq127;ee=0.0059;size=2949;	Unsorted_A17
Seq128;ee=0.017;size=2925;	Unsorted_B60
Seq129;ee=0.0059;size=2918;	Unsorted_A34
Seq130;ee=0.0062;size=2903;	Unsorted_N62
Seq131;ee=0.0062;size=2879;	Unsorted_N3
Seq132;ee=0.0062;size=2837;	Unsorted_N18
Seq133;ee=0.41;size=2811;	Unsorted_L25
Seq134;ee=0.016;size=2790;	Unsorted_E20
Seq136;ee=0.017;size=2775;	Unsorted_E28
Seq135;ee=0.015;size=2780;	Unsorted_L57
Seq138;ee=0.0062;size=2745;	Unsorted_N27
Seq137;ee=0.013;size=2749;	Unsorted_L60
Seq26;ee=0.0059;size=28208;	Unsorted_A59
Seq140;ee=0.015;size=2670;	Unsorted_E15
Seq16;ee=0.014;size=38712;	Unsorted_L71
Seq14;ee=0.0059;size=41262;	Unsorted_A27
Seq34;ee=0.0066;size=21941;	Unsorted_A4
Seq24;ee=0.0059;size=30845;	Unsorted_A23
Seq146;ee=0.018;size=2435;	Unsorted_J33
Seq144;ee=0.013;size=2468;	Unsorted_L23
Seq139;ee=0.1;size=2723;	Unsorted_L4
Seq142;ee=0.045;size=2579;	Unsorted_L26
Seq143;ee=0.014;size=2537;	Unsorted_L68
Seq20;ee=0.013;size=32468;	Unsorted_L63
Seq19;ee=0.0059;size=34775;	Unsorted_A72
Seq151;ee=0.0059;size=2297;	Unsorted_A20
Seq152;ee=0.015;size=2180;	Unsorted_E44
Seq145;ee=0.013;size=2447;	Unsorted_L74
Seq147;ee=0.013;size=2420;	Unsorted_L32
Seq148;ee=0.0059;size=2415;	Unsorted_A15
Seq153;ee=0.015;size=2147;	Unsorted_E27
Seq150;ee=0.016;size=2312;	Unsorted_L29
Seq149;ee=0.017;size=2383;	Unsorted_J32
Seq141;ee=0.0059;size=2634;	Unsorted_A7
Seq154;ee=0.015;size=2136;	Unsorted_E56
Seq155;ee=0.017;size=2130;	Unsorted_J12
Seq156;ee=0.017;size=2087;	Unsorted_E52
Seq161;ee=0.0059;size=2015;	Unsorted_A25
Seq163;ee=0.044;size=1865;	Unsorted_E47
Seq158;ee=0.015;size=2053;	Unsorted_L48
Seq159;ee=0.015;size=2052;	Unsorted_E36
Seq164;ee=0.014;size=1840;	Unsorted_D5
Seq157;ee=0.017;size=2084;	Unsorted_J41
Seq165;ee=0.0059;size=1813;	Unsorted_A30
Seq162;ee=0.013;size=1976;	Unsorted_L52
Seq168;ee=0.017;size=1701;	Unsorted_E4
Seq167;ee=0.018;size=1745;	Unsorted_J45
Seq166;ee=0.017;size=1792;	Unsorted_J15
Seq169;ee=0.024;size=1701;	Unsorted_C73
Seq172;ee=0.014;size=1641;	Unsorted_O22
Seq174;ee=0.018;size=1594;	Unsorted_J10
Seq171;ee=0.011;size=1644;	Unsorted_H60
Seq175;ee=0.017;size=1586;	Unsorted_J35
Seq170;ee=0.038;size=1689;	Unsorted_P34
Seq173;ee=0.0062;size=1604;	Unsorted_N31
Seq177;ee=0.015;size=1570;	Unsorted_E71
Seq178;ee=0.0059;size=1560;	Unsorted_A66
Seq176;ee=0.017;size=1581;	Unsorted_J43
Seq181;ee=0.015;size=1512;	Unsorted_Q29
Seq179;ee=0.018;size=1544;	Unsorted_J60
Seq180;ee=0.014;size=1537;	Unsorted_O6
Seq182;ee=0.017;size=1496;	Unsorted_J48
Seq185;ee=0.018;size=1440;	Unsorted_J9
Seq183;ee=0.017;size=1473;	Unsorted_J34
Seq184;ee=0.054;size=1465;	Unsorted_C26
Seq186;ee=0.058;size=1427;	Unsorted_I49
Seq189;ee=0.0087;size=1416;	Unsorted_M52
Seq187;ee=0.015;size=1426;	Unsorted_E1
Seq190;ee=0.014;size=1402;	Unsorted_D17
Seq188;ee=0.0062;size=1423;	Unsorted_N8
Seq191;ee=0.0062;size=1347;	Unsorted_N42
Seq192;ee=0.011;size=1337;	Unsorted_P48
Seq195;ee=0.015;size=1331;	Unsorted_Q52
Seq193;ee=0.44;size=1337;	Unsorted_Q27
Seq196;ee=0.016;size=1326;	Unsorted_E66
Seq197;ee=0.0062;size=1311;	Unsorted_N5
Seq194;ee=0.017;size=1333;	Unsorted_J21
Seq198;ee=0.011;size=1310;	Unsorted_H45
Seq199;ee=0.019;size=1302;	Unsorted_J74
Seq202;ee=0.0062;size=1292;	Unsorted_N28
Seq200;ee=0.0088;size=1300;	Unsorted_M16
Seq203;ee=0.0062;size=1277;	Unsorted_N17
Seq204;ee=0.015;size=1271;	Unsorted_E26
Seq201;ee=0.017;size=1293;	Unsorted_J27
Seq205;ee=0.016;size=1269;	Unsorted_M64
Seq209;ee=0.014;size=1128;	Unsorted_O25
Seq207;ee=0.017;size=1215;	Unsorted_F40
Seq206;ee=0.0062;size=1253;	Unsorted_N6
Seq212;ee=0.022;size=1110;	Unsorted_C13
Seq213;ee=0.017;size=1100;	Unsorted_J19
Seq211;ee=0.017;size=1119;	Unsorted_J11
Seq210;ee=0.014;size=1123;	Unsorted_E30
Seq208;ee=0.012;size=1203;	Unsorted_P28
Seq216;ee=0.012;size=1079;	Unsorted_P9
Seq214;ee=0.017;size=1099;	Unsorted_J38
Seq215;ee=0.012;size=1082;	Unsorted_P65
Seq218;ee=0.015;size=1055;	Unsorted_E18
Seq219;ee=0.05;size=1052;	Unsorted_L3
Seq217;ee=0.015;size=1072;	Unsorted_E22
Seq222;ee=0.012;size=1032;	Unsorted_P54
Seq221;ee=0.017;size=1033;	Unsorted_J31
Seq223;ee=0.48;size=1014;	Unsorted_E37
Seq220;ee=0.073;size=1039;	Unsorted_P26
Seq224;ee=0.015;size=1004;	Unsorted_Q6
Seq226;ee=0.016;size=1000;	Unsorted_E51
Seq225;ee=0.0059;size=1003;	Unsorted_A5
Seq229;ee=0.0062;size=992;	Unsorted_N37
Seq230;ee=0.014;size=987;	Native_D1
Seq232;ee=0.017;size=972;	Unsorted_J36
Seq231;ee=0.02;size=978;	Unsorted_G68
Seq235;ee=0.012;size=931;	Unsorted_P35
Seq233;ee=0.0062;size=957;	Unsorted_N15
Seq228;ee=0.016;size=993;	Unsorted_D12
Seq234;ee=0.017;size=934;	Unsorted_J42
Seq237;ee=0.018;size=929;	Unsorted_F19
Seq236;ee=0.026;size=929;	Unsorted_C14
Seq239;ee=0.014;size=907;	Unsorted_L33
Seq238;ee=0.014;size=920;	Unsorted_E25
Seq241;ee=0.012;size=897;	Unsorted_P68
Seq242;ee=0.015;size=894;	Unsorted_Q51
Seq240;ee=0.017;size=902;	Unsorted_J7
Seq243;ee=0.017;size=888;	Unsorted_I70
Seq244;ee=0.011;size=879;	Unsorted_H2
Seq247;ee=0.0059;size=861;	Unsorted_A31
Seq245;ee=0.011;size=870;	Unsorted_H30
Seq249;ee=0.0086;size=854;	Unsorted_M2
Seq248;ee=0.079;size=858;	Unsorted_L64
Seq250;ee=0.46;size=847;	Unsorted_E31
Seq252;ee=0.017;size=834;	Unsorted_I12
Seq253;ee=0.017;size=825;	Unsorted_J65
Seq257;ee=0.017;size=817;	Unsorted_B13
Seq255;ee=0.011;size=819;	Unsorted_H20
Seq254;ee=0.013;size=825;	Unsorted_L21
Seq256;ee=0.011;size=818;	Unsorted_H62
Seq259;ee=0.017;size=812;	Unsorted_O43
Seq258;ee=0.017;size=813;	Unsorted_F7
Seq260;ee=0.015;size=805;	Unsorted_E24
Seq261;ee=0.0062;size=795;	Unsorted_N41
Seq262;ee=0.011;size=789;	Unsorted_H51
Seq266;ee=0.41;size=755;	Unsorted_M13
Seq267;ee=0.012;size=755;	Unsorted_P70
Seq263;ee=0.075;size=784;	Unsorted_M32
Seq268;ee=0.062;size=747;	Unsorted_E12
Seq264;ee=0.0062;size=777;	Unsorted_N38
Seq265;ee=0.017;size=775;	Unsorted_J57
Seq269;ee=0.024;size=746;	Unsorted_C11
Seq271;ee=0.0086;size=742;	Unsorted_M27
Seq273;ee=0.017;size=727;	Unsorted_J30
Seq272;ee=0.016;size=740;	Unsorted_B47
Seq277;ee=0.016;size=706;	Unsorted_E64
Seq278;ee=0.0062;size=700;	Unsorted_N14
Seq279;ee=0.017;size=689;	Unsorted_J40
Seq275;ee=0.011;size=716;	Unsorted_H29
Seq276;ee=0.013;size=712;	Unsorted_P39
Seq280;ee=0.012;size=684;	Unsorted_P30
Seq281;ee=0.0059;size=677;	Unsorted_A11
Seq282;ee=0.017;size=673;	Unsorted_B4
Seq283;ee=0.0062;size=671;	Unsorted_N23
Seq284;ee=0.017;size=666;	Unsorted_J68
Seq287;ee=0.0059;size=654;	Unsorted_A56
Seq288;ee=0.013;size=654;	Unsorted_L62
Seq290;ee=0.011;size=644;	Unsorted_H68
Seq291;ee=0.014;size=640;	Unsorted_D61
Seq294;ee=0.014;size=632;	Unsorted_O70
Seq292;ee=0.015;size=637;	Unsorted_Q66
Seq297;ee=0.0062;size=622;	Unsorted_N63
Seq293;ee=0.063;size=634;	Unsorted_D2
Seq295;ee=0.015;size=631;	Unsorted_O44
Seq299;ee=0.0068;size=613;	Unsorted_A24
Seq300;ee=0.15;size=610;	Unsorted_P60
Seq301;ee=0.023;size=609;	Unsorted_J50
Seq303;ee=0.015;size=605;	Unsorted_Q22
Seq305;ee=0.017;size=597;	Unsorted_F21
Seq304;ee=0.017;size=600;	Unsorted_J56
Seq306;ee=0.0062;size=596;	Unsorted_N36
Seq302;ee=0.023;size=606;	Unsorted_C37
Seq309;ee=0.011;size=584;	Unsorted_H59
Seq308;ee=0.021;size=595;	Unsorted_G33
Seq310;ee=0.0086;size=581;	Unsorted_M65
Seq317;ee=0.72;size=556;	Unsorted_E54
Seq312;ee=0.13;size=575;	Unsorted_P14
Seq311;ee=0.13;size=581;	Unsorted_O62
Seq313;ee=0.018;size=569;	Unsorted_Q34
Seq319;ee=0.045;size=549;	Unsorted_J44
Seq316;ee=0.13;size=563;	Unsorted_E21
Seq321;ee=0.048;size=538;	Unsorted_L43
Seq322;ee=0.012;size=537;	Unsorted_P74
Seq320;ee=0.017;size=544;	Unsorted_B62
Seq324;ee=0.011;size=527;	Unsorted_H5
Seq323;ee=0.0088;size=532;	Unsorted_M44
Seq326;ee=0.0062;size=524;	Unsorted_N34
Seq325;ee=0.017;size=525;	Unsorted_I6
Seq334;ee=0.0062;size=492;	Unsorted_N39
Seq329;ee=0.0089;size=517;	Unsorted_M74
Seq330;ee=0.017;size=500;	Unsorted_F18
Seq332;ee=0.011;size=493;	Unsorted_H4
Seq328;ee=0.014;size=522;	Unsorted_D58
Seq338;ee=0.012;size=484;	Unsorted_P10
Seq331;ee=0.044;size=494;	Unsorted_J4
Seq342;ee=0.021;size=471;	Unsorted_G44
Seq345;ee=0.017;size=468;	Unsorted_I23
Seq347;ee=0.021;size=462;	Unsorted_F4
Seq344;ee=0.0059;size=470;	Unsorted_A10
Seq348;ee=0.0062;size=461;	Unsorted_N16
Seq349;ee=0.022;size=459;	Unsorted_C16
Seq350;ee=0.057;size=459;	Unsorted_J72
Seq354;ee=0.028;size=450;	Native_C1
Seq352;ee=0.021;size=456;	Unsorted_F70
Seq355;ee=0.29;size=449;	Unsorted_E17
Seq357;ee=0.015;size=443;	Unsorted_E5
Seq358;ee=0.016;size=443;	Unsorted_O36
Seq356;ee=0.023;size=446;	Unsorted_C39
Seq360;ee=0.018;size=440;	Unsorted_Q5
Seq363;ee=0.017;size=438;	Unsorted_J6
Seq362;ee=0.017;size=438;	Unsorted_I52
Seq361;ee=0.52;size=439;	Unsorted_Q62
Seq366;ee=0.013;size=425;	Unsorted_L41
Seq367;ee=0.017;size=424;	Unsorted_B45
Seq364;ee=0.013;size=436;	Unsorted_L55
Seq372;ee=0.014;size=414;	Unsorted_D7
Seq369;ee=0.053;size=422;	Unsorted_L6
Seq371;ee=0.011;size=414;	Unsorted_H52
Seq374;ee=0.0062;size=411;	Unsorted_N46
Seq377;ee=0.0062;size=406;	Unsorted_N60
Seq384;ee=0.015;size=394;	Unsorted_Q59
Seq380;ee=0.015;size=403;	Unsorted_E33
Seq386;ee=0.042;size=393;	Unsorted_B65
Seq391;ee=0.026;size=381;	Unsorted_C1
Seq394;ee=0.079;size=376;	Unsorted_Q36
Seq385;ee=0.021;size=394;	Unsorted_I10
Seq393;ee=0.017;size=378;	Unsorted_J26
Seq396;ee=0.015;size=374;	Unsorted_E39
Seq390;ee=0.014;size=383;	Unsorted_O28
Seq392;ee=0.0062;size=379;	Unsorted_N4
Seq399;ee=0.017;size=371;	Unsorted_J47
Seq397;ee=0.014;size=373;	Unsorted_O1
Seq402;ee=0.012;size=371;	Unsorted_P24
Seq406;ee=0.0062;size=365;	Unsorted_N74
Seq405;ee=0.017;size=367;	Native_F1
Seq407;ee=0.015;size=365;	Unsorted_Q3
Seq415;ee=0.012;size=350;	Unsorted_P58
Seq420;ee=0.42;size=340;	Unsorted_L66
Seq418;ee=0.0062;size=344;	Unsorted_N66
Seq417;ee=0.056;size=346;	Unsorted_B61
Seq421;ee=0.018;size=337;	Unsorted_I60
Seq423;ee=0.012;size=332;	Unsorted_P45
Seq419;ee=0.015;size=341;	Unsorted_Q18
Seq424;ee=0.015;size=332;	Unsorted_Q43
Seq427;ee=0.093;size=324;	Unsorted_C75
Seq426;ee=0.0084;size=331;	Native_M1
Seq431;ee=0.0059;size=311;	Unsorted_A55
Seq432;ee=0.015;size=311;	Unsorted_E38
Seq436;ee=0.017;size=304;	Unsorted_D21
Seq438;ee=0.0064;size=302;	Unsorted_N58
Seq434;ee=0.015;size=306;	Unsorted_Q25
Seq439;ee=0.014;size=301;	Unsorted_O27
Seq440;ee=0.017;size=301;	Unsorted_F1
Seq437;ee=0.014;size=303;	Unsorted_D68
Seq443;ee=0.017;size=296;	Unsorted_F69
Seq445;ee=0.0062;size=294;	Unsorted_N61
Seq448;ee=0.024;size=293;	Unsorted_C41
Seq452;ee=0.014;size=291;	Unsorted_O57
Seq454;ee=0.011;size=291;	Unsorted_H64
Seq453;ee=0.018;size=291;	Unsorted_F5
Seq450;ee=0.012;size=292;	Unsorted_P6
Seq456;ee=0.019;size=290;	Unsorted_O29
Seq455;ee=0.013;size=290;	Unsorted_L35
Seq457;ee=0.018;size=289;	Unsorted_I61
Seq460;ee=0.016;size=289;	Unsorted_D69
Seq466;ee=0.017;size=284;	Unsorted_J75
Seq465;ee=0.017;size=285;	Unsorted_I30
Seq473;ee=0.014;size=278;	Unsorted_O5
Seq470;ee=0.012;size=281;	Unsorted_P69
Seq482;ee=0.13;size=275;	Unsorted_M61
Seq475;ee=0.049;size=277;	Unsorted_D60
Seq494;ee=0.0059;size=268;	Unsorted_A46
Seq493;ee=0.023;size=268;	Unsorted_C48
Seq489;ee=0.017;size=271;	Unsorted_Q38
Seq500;ee=0.015;size=265;	Unsorted_E43
Seq496;ee=0.016;size=267;	Unsorted_B68
Seq508;ee=0.015;size=259;	Native_Q1
Seq505;ee=0.017;size=262;	Unsorted_B1
Seq511;ee=0.017;size=257;	Unsorted_F28
Seq510;ee=0.0062;size=258;	Unsorted_N51
Seq513;ee=0.0059;size=257;	Unsorted_A60
Seq512;ee=0.011;size=257;	Unsorted_H75
Seq519;ee=0.014;size=255;	Unsorted_D42
Seq516;ee=0.011;size=257;	Unsorted_H22
Seq517;ee=0.017;size=256;	Unsorted_F17
Seq525;ee=0.0062;size=251;	Unsorted_N13
Seq528;ee=0.014;size=250;	Unsorted_D10
Seq532;ee=0.022;size=249;	Unsorted_G15
Seq537;ee=0.049;size=247;	Unsorted_I7
Seq531;ee=0.014;size=249;	Unsorted_D16
Seq529;ee=0.02;size=250;	Native_G1
Seq539;ee=0.022;size=244;	Unsorted_C51
Seq536;ee=0.033;size=248;	Unsorted_C68
Seq542;ee=0.012;size=243;	Unsorted_P31
Seq543;ee=0.023;size=242;	Unsorted_C45
Seq541;ee=0.015;size=244;	Unsorted_E59
Seq550;ee=0.014;size=241;	Unsorted_O67
Seq558;ee=0.017;size=234;	Unsorted_F71
Seq563;ee=0.014;size=231;	Unsorted_O68
Seq557;ee=0.014;size=236;	Unsorted_E13
Seq560;ee=0.015;size=232;	Unsorted_Q41
Seq568;ee=0.017;size=229;	Unsorted_I40
Seq572;ee=0.22;size=228;	Unsorted_Q23
Seq566;ee=0.025;size=229;	Unsorted_C24
Seq571;ee=0.017;size=228;	Unsorted_I57
Seq575;ee=0.017;size=227;	Unsorted_F27
Seq581;ee=0.0062;size=222;	Unsorted_N44
Seq584;ee=0.017;size=221;	Unsorted_J61
Seq579;ee=0.015;size=223;	Unsorted_O64
Seq586;ee=0.016;size=220;	Unsorted_B29
Seq588;ee=0.0085;size=220;	Unsorted_M30
Seq592;ee=0.0062;size=219;	Unsorted_N19
Seq597;ee=0.015;size=218;	Unsorted_Q33
Seq591;ee=0.025;size=219;	Unsorted_C23
Seq594;ee=0.052;size=218;	Unsorted_J69
Seq609;ee=0.0062;size=214;	Unsorted_N48
Seq613;ee=0.015;size=213;	Unsorted_E3
Seq636;ee=0.016;size=207;	Unsorted_L45
Seq632;ee=0.017;size=209;	Unsorted_J46
Seq641;ee=0.014;size=205;	Unsorted_L40
Seq640;ee=0.015;size=205;	Unsorted_E62
Seq649;ee=0.015;size=202;	Unsorted_E42
Seq651;ee=0.016;size=202;	Unsorted_B69
Seq654;ee=0.023;size=201;	Unsorted_C32
Seq657;ee=0.018;size=200;	Native_O1
Seq653;ee=0.047;size=201;	Unsorted_B5
Seq661;ee=0.023;size=200;	Unsorted_C25
Seq671;ee=0.011;size=197;	Unsorted_P40
Seq678;ee=0.015;size=195;	Unsorted_Q42
Seq676;ee=0.014;size=195;	Unsorted_O66
Seq672;ee=0.019;size=197;	Unsorted_H73
Seq681;ee=0.024;size=194;	Unsorted_C61
Seq684;ee=0.017;size=193;	Unsorted_F53
Seq704;ee=0.015;size=188;	Unsorted_Q53
Seq710;ee=0.47;size=185;	Unsorted_E23
Seq716;ee=0.016;size=184;	Unsorted_B71
Seq718;ee=0.014;size=184;	Unsorted_Q37
Seq717;ee=0.063;size=184;	Unsorted_B24
Seq730;ee=0.015;size=182;	Unsorted_Q73
Seq729;ee=0.017;size=183;	Unsorted_I5
Seq734;ee=0.017;size=182;	Unsorted_F57
Seq737;ee=0.012;size=181;	Unsorted_P53
Seq761;ee=0.014;size=176;	Unsorted_L69
Seq769;ee=0.017;size=174;	Unsorted_F11
Seq776;ee=0.015;size=173;	Unsorted_D28
Seq770;ee=0.82;size=174;	Unsorted_E73
Seq775;ee=0.0088;size=173;	Unsorted_M6
Seq788;ee=0.011;size=172;	Unsorted_H7
Seq787;ee=0.018;size=172;	Unsorted_J59
Seq797;ee=0.011;size=170;	Unsorted_H10
Seq805;ee=0.012;size=169;	Unsorted_P22
Seq811;ee=0.014;size=168;	Unsorted_D14
Seq812;ee=0.017;size=167;	Unsorted_F42
Seq813;ee=0.016;size=167;	Unsorted_E61
Seq817;ee=0.015;size=166;	Unsorted_E67
Seq810;ee=0.015;size=168;	Unsorted_Q30
Seq820;ee=0.019;size=166;	Unsorted_I34
Seq834;ee=0.015;size=161;	Unsorted_Q28
Seq839;ee=0.018;size=161;	Unsorted_I58
Seq842;ee=0.011;size=160;	Unsorted_P52
Seq844;ee=0.0062;size=159;	Unsorted_N67
Seq853;ee=0.017;size=157;	Unsorted_B64
Seq863;ee=0.011;size=155;	Unsorted_P51
Seq868;ee=0.0085;size=154;	Unsorted_M75
Seq878;ee=0.022;size=153;	Unsorted_C62
Seq893;ee=0.016;size=149;	Unsorted_B9
Seq910;ee=0.016;size=147;	Unsorted_B11
Seq914;ee=0.015;size=146;	Unsorted_E32
Seq906;ee=0.016;size=147;	Unsorted_H71
Seq938;ee=0.015;size=143;	Unsorted_E35
Seq953;ee=0.025;size=142;	Unsorted_C27
Seq940;ee=0.022;size=143;	Unsorted_C64
Seq952;ee=0.014;size=142;	Unsorted_D30
Seq954;ee=0.1;size=142;	Unsorted_I22
Seq958;ee=0.017;size=141;	Unsorted_J28
Seq987;ee=0.014;size=138;	Unsorted_D74
Seq977;ee=0.0062;size=139;	Unsorted_N47
Seq983;ee=0.014;size=139;	Unsorted_D31
Seq989;ee=0.011;size=138;	Unsorted_H32
Seq988;ee=0.11;size=138;	Unsorted_O8
Seq999;ee=0.026;size=137;	Unsorted_C52
Seq1004;ee=0.023;size=137;	Unsorted_C9
Seq1006;ee=0.017;size=136;	Unsorted_F74
Seq1018;ee=0.0062;size=135;	Unsorted_N65
Seq1022;ee=0.017;size=134;	Unsorted_F20
Seq1029;ee=0.012;size=133;	Unsorted_P50
Seq1035;ee=0.015;size=133;	Unsorted_Q69
Seq1038;ee=0.0059;size=133;	Unsorted_A18
Seq1036;ee=0.017;size=133;	Unsorted_F62
Seq1046;ee=0.019;size=131;	Unsorted_J58
Seq1053;ee=0.47;size=131;	Unsorted_D49
Seq1070;ee=0.017;size=128;	Unsorted_P62
Seq1079;ee=0.073;size=128;	Unsorted_P75
Seq1092;ee=0.0062;size=126;	Unsorted_N55
Seq1096;ee=0.017;size=126;	Unsorted_F16
Seq1097;ee=0.0062;size=126;	Unsorted_N21
Seq1120;ee=0.017;size=124;	Unsorted_J71
Seq1128;ee=0.012;size=123;	Unsorted_P33
Seq1141;ee=0.0089;size=122;	Unsorted_M45
Seq1155;ee=0.012;size=122;	Unsorted_P46
Seq1157;ee=0.015;size=121;	Unsorted_E65
