Seq5;ee=0.0059;size=72;	GFP22_A
Seq170;ee=0.012;size=2;	Unsorted_P34
Seq171;ee=0.0059;size=2;	Unsorted_A63
Seq172;ee=0.012;size=2;	Unsorted_P54
Seq163;ee=0.012;size=2;	Unsorted_P35
Seq173;ee=0.015;size=2;	Unsorted_E57
Seq174;ee=0.012;size=2;	Unsorted_P74
Seq177;ee=0.013;size=2;	Unsorted_L58
Seq178;ee=0.0062;size=2;	Luciferase3_N
Seq180;ee=0.0059;size=2;	PD1-Avidin41_A
Seq181;ee=0.0059;size=2;	PD1-Avidin4_A
Seq186;ee=0.0059;size=2;	Unsorted_A42
Seq187;ee=0.018;size=2;	Unsorted_J67
Seq190;ee=0.0059;size=2;	Unsorted_A27
Seq189;ee=0.0059;size=2;	CTLA-Avidin46_A
Seq192;ee=0.0062;size=2;	Luciferase41_N
Seq196;ee=0.0059;size=2;	Unsorted_A32
Seq197;ee=0.0059;size=2;	GFP24_A
Seq195;ee=0.011;size=2;	Native_H1
Seq198;ee=0.0059;size=2;	CTLA-Avidin2_A
Seq200;ee=0.0059;size=2;	Unsorted_A38
Seq201;ee=0.016;size=2;	Unsorted_B31
Seq205;ee=0.0059;size=2;	Unsorted_A15
Seq204;ee=0.017;size=2;	Unsorted_J63
Seq207;ee=0.015;size=2;	Unsorted_Q29
Seq208;ee=0.0062;size=2;	Luciferase44_N
Seq210;ee=0.014;size=2;	Unsorted_L65
Seq214;ee=0.0059;size=2;	Unsorted_A9
Seq212;ee=0.0065;size=2;	Unsorted_A36
Seq216;ee=0.0059;size=2;	PD1-Avidin8_A
Seq209;ee=0.014;size=2;	PE14_O
Seq223;ee=0.32;size=2;	Unsorted_L38
Seq221;ee=0.0059;size=2;	Unsorted_A54
Seq225;ee=0.013;size=2;	Unsorted_L10
Seq236;ee=0.014;size=2;	Unsorted_L24
Seq235;ee=0.0059;size=2;	Unsorted_A23
Seq243;ee=0.0059;size=2;	GFP4_A
Seq242;ee=0.0062;size=2;	PE23_N
Seq241;ee=0.044;size=2;	Unsorted_E11
Seq237;ee=0.016;size=2;	VEGF8_E
Seq248;ee=0.016;size=2;	Unsorted_E48
Seq246;ee=0.0062;size=2;	Native_N1
Seq254;ee=0.0062;size=2;	VEGF17_N
Seq263;ee=0.013;size=2;	Unsorted_L15
Seq261;ee=0.015;size=2;	Unsorted_E34
Seq258;ee=0.0059;size=2;	GFP36_A
Seq264;ee=0.013;size=2;	Unsorted_L32
Seq268;ee=0.0059;size=2;	Native_A1
Seq267;ee=0.018;size=2;	Unsorted_F27
Seq271;ee=0.0062;size=2;	PD1-Avidin7_N
Seq276;ee=0.011;size=1;	Unsorted_H30
Seq292;ee=0.014;size=1;	Unsorted_L41
Seq296;ee=0.0062;size=1;	VEGF4_N
Seq298;ee=0.02;size=1;	Unsorted_G30
Seq301;ee=0.0062;size=1;	PE29_N
Seq307;ee=0.0059;size=1;	Unsorted_A34
Seq304;ee=0.063;size=1;	Unsorted_C14
Seq313;ee=0.018;size=1;	Unsorted_J7
Seq319;ee=0.015;size=1;	PD1-Avidin13_E
Seq338;ee=0.011;size=1;	VEGF16_N
Seq357;ee=0.0062;size=1;	Unsorted_N14
Seq369;ee=0.015;size=1;	PD1-Avidin38_E
Seq372;ee=0.0059;size=1;	Unsorted_A40
Seq367;ee=0.0059;size=1;	CTLA-Avidin50_A
Seq381;ee=0.0062;size=1;	Unsorted_N28
Seq393;ee=0.11;size=1;	Unsorted_I13
Seq394;ee=0.012;size=1;	Unsorted_N60
Seq407;ee=0.0059;size=1;	GFP41_A
Seq435;ee=0.0059;size=1;	Luciferase22_A
Seq444;ee=0.015;size=1;	Unsorted_E56
Seq447;ee=0.0062;size=1;	VEGF43_N
Seq451;ee=0.0059;size=1;	Unsorted_A16
Seq460;ee=0.0059;size=1;	PD1-Avidin14_A
Seq489;ee=0.017;size=1;	Unsorted_I23
Seq500;ee=0.0059;size=1;	Unsorted_A66
Seq501;ee=0.0059;size=1;	GFP27_A
Seq509;ee=0.015;size=1;	Unsorted_E51
Seq508;ee=0.0059;size=1;	GFP38_A
Seq524;ee=0.0062;size=1;	PD1-Avidin50_N
Seq530;ee=0.0059;size=1;	Unsorted_A45
Seq534;ee=0.017;size=1;	Native_J1
Seq548;ee=0.015;size=1;	Unsorted_L50
Seq556;ee=0.058;size=1;	CTLA-Tris-Carb15_O
Seq561;ee=0.0059;size=1;	Unsorted_A17
Seq567;ee=0.014;size=1;	Unsorted_L43
Seq573;ee=0.0059;size=1;	PD1-Avidin39_A
Seq577;ee=0.014;size=1;	PE47_O
Seq603;ee=0.017;size=1;	Unsorted_B33
Seq612;ee=0.02;size=1;	Unsorted_G15
Seq623;ee=0.014;size=1;	Unsorted_O64
Seq625;ee=0.056;size=1;	Unsorted_J36
Seq640;ee=0.0059;size=1;	Unsorted_A58
Seq657;ee=0.015;size=1;	Unsorted_E44
Seq661;ee=0.076;size=1;	Unsorted_L23
Seq672;ee=0.0062;size=1;	VEGF9_N
Seq675;ee=0.0059;size=1;	PD1-Avidin1_A
Seq687;ee=0.0059;size=1;	GFP49_A
Seq688;ee=0.0062;size=1;	Luciferase38_N
Seq697;ee=0.011;size=1;	Unsorted_A26
Seq729;ee=0.017;size=1;	Unsorted_J27
Seq735;ee=0.0059;size=1;	PE49_A
Seq750;ee=0.0059;size=1;	Unsorted_A5
Seq762;ee=0.014;size=1;	Unsorted_O30
Seq773;ee=0.0062;size=1;	Luciferase31_N
Seq786;ee=0.0059;size=1;	PD1-Avidin48_A
Seq785;ee=0.017;size=1;	Unsorted_J26
Seq787;ee=0.0062;size=1;	Unsorted_N15
Seq794;ee=0.011;size=1;	Unsorted_P39
Seq801;ee=0.016;size=1;	Unsorted_B47
Seq807;ee=0.0059;size=1;	GFP19_A
Seq810;ee=0.014;size=1;	PE48_O
Seq812;ee=0.013;size=1;	Unsorted_L60
Seq817;ee=0.014;size=1;	PE44_O
Seq816;ee=0.0062;size=1;	Luciferase40_N
Seq831;ee=0.0059;size=1;	CTLA-Avidin25_A
Seq849;ee=0.015;size=1;	Unsorted_E6
Seq862;ee=0.011;size=1;	Unsorted_P53
Seq870;ee=0.015;size=1;	Unsorted_E52
Seq884;ee=0.021;size=1;	Unsorted_B68
Seq888;ee=0.012;size=1;	Unsorted_P60
Seq899;ee=0.0062;size=1;	Unsorted_N23
Seq916;ee=0.018;size=1;	Unsorted_J64
Seq915;ee=0.014;size=1;	Unsorted_O43
Seq917;ee=0.013;size=1;	Unsorted_L1
Seq923;ee=0.27;size=1;	Unsorted_O36
Seq924;ee=0.015;size=1;	CTLA-Avidin45_E
Seq939;ee=0.0059;size=1;	GFP46_A
Seq946;ee=0.018;size=1;	Unsorted_Q69
Seq942;ee=0.0062;size=1;	Luciferase4_N
Seq947;ee=0.065;size=1;	Unsorted_L19
Seq957;ee=0.0062;size=1;	PE22_N
Seq969;ee=0.042;size=1;	Unsorted_F19
Seq992;ee=0.0059;size=1;	PD1-Avidin49_A
Seq999;ee=0.015;size=1;	Unsorted_Q30
Seq1006;ee=0.017;size=1;	Unsorted_F57
Seq1012;ee=0.45;size=1;	Unsorted_A30
Seq1020;ee=0.0062;size=1;	PD1-Avidin45_N
Seq1030;ee=0.012;size=1;	Unsorted_P65
Seq1035;ee=0.014;size=1;	Unsorted_L17
Seq1053;ee=0.0059;size=1;	Unsorted_A28
Seq1056;ee=0.0062;size=1;	Luciferase32_N
Seq1073;ee=0.017;size=1;	Unsorted_B29
Seq1086;ee=0.036;size=1;	Unsorted_H45
Seq1097;ee=0.022;size=1;	Unsorted_C8
Seq1101;ee=0.0059;size=1;	GFP28_A
Seq1110;ee=0.046;size=1;	Luciferase26_N
Seq1114;ee=0.0062;size=1;	Unsorted_N40
Seq1120;ee=0.0059;size=1;	GFP26_A
Seq1126;ee=0.0059;size=1;	Unsorted_A50
Seq1130;ee=0.33;size=1;	Unsorted_D42
Seq1133;ee=0.013;size=1;	Unsorted_L7
Seq1118;ee=0.015;size=1;	Unsorted_Q6
Seq1132;ee=0.4;size=1;	CTLA-Tris-Carb50_A
Seq1148;ee=0.026;size=1;	Unsorted_L5
Seq1158;ee=0.014;size=1;	Unsorted_L28
Seq1149;ee=0.011;size=1;	Unsorted_N3
Seq1167;ee=0.0059;size=1;	CTLA-Avidin14_A
Seq1164;ee=0.0059;size=1;	PD1-Avidin28_A
Seq1180;ee=0.0059;size=1;	PD1-Avidin46_A
Seq1191;ee=0.0062;size=1;	Unsorted_N54
Seq1199;ee=0.0059;size=1;	PE25_A
Seq1203;ee=0.015;size=1;	Unsorted_Q42
Seq1210;ee=0.0059;size=1;	GFP44_A
Seq17;ee=0.0059;size=30;	GFP48_A
